اسم المرض,التعريف,الانواع,الأعراض,الأسباب,طرق العلاج,الأدوية المرتبطة,طرق الوقاية,الاشخاص الاكثر عرضه
خلع الكتف,خروج رأس عظمة العضد من تجويف الكتف,أمامي- خلفي- سفلي,ألم شديد- تورم- عدم القدرة على تحريك الذراع,الإصابات الرياضية- السقوط- الحوادث,تثبيت الكتف- العلاج الطبيعي- جراحة في الحالات المتقدمة,مسكنات الألم- جل مضاد للالتهاب,تقوية عضلات الكتف- تجنب الحركات العنيفة,الرياضيون- كبار السن
قرحة الفراش,تقرحات جلدية تحدث بسبب الضغط الطويل على الجلد,سطحية- عميقة,احمرار- تقشر الجلد- جروح مؤلمة,الجلوس أو الاستلقاء لفترات طويلة,تغيير وضع الجسم بانتظام- العناية بالبشرة,كريمات الحماية- المطهرات الموضعية,تقليب المريض بانتظام- استخدام وسائد داعمة,المرضى طويلي الفراش- كبار السن
التهاب المثانة الخلالي,التهاب مزمن في المثانة يسبب تهيجًا مستمرًا,خفيف- شديد,ألم في الحوض- كثرة التبول- انزعاج أثناء الجماع,مجهول السبب- اضطرابات عصبية,أدوية مرخية للعضلات- تغييرات غذائية,بنتوسان بوليسلفات- مضادات الالتهاب,تجنب الكافيين- تقليل التوتر,النساء أكثر عرضة- الأشخاص المصابون بأمراض المثانة
قصور الغدة الدرقية,انخفاض إنتاج هرمونات الغدة الدرقية مما يسبب بطء العمليات الأيضية,أولي- ثانوي- خلقي,تعب- زيادة الوزن- جفاف البشرة- تساقط الشعر,أمراض المناعة الذاتية- نقص اليود,العلاج الهرموني التعويضي- تحسين نمط الحياة,ليفوثيروكسين,تناول غذاء غني باليود- متابعة فحوصات الغدة,النساء- كبار السن
فرط الغدة الدرقية,زيادة إنتاج هرمونات الغدة الدرقية مما يسبب تسارع العمليات الأيضية,جريفز- العقيدات الدرقية- التسمم الدرقي,فقدان الوزن- رعشة اليدين- خفقان القلب,اضطراب مناعي- زيادة اليود في الغذاء,أدوية مضادة للغدة- جراحة في بعض الحالات,ميثيمازول- بروبيل ثيوراسيل,تقليل الكافيين- تجنب مكملات اليود,النساء- المصابون بأمراض المناعة
حصوات الكلى,تجمع معادن وأملاح داخل الكلى مكونة حصوات صلبة,أوكسالات الكالسيوم- حمض اليوريك- السيستين,ألم شديد في الجانب والظهر- دم في البول- غثيان,قلة شرب الماء- زيادة الكالسيوم في البول,شرب الماء بكثرة- أدوية مذيبة للحصوات- الجراحة,ألفا بلوكرز- مسكنات الألم,شرب الماء الكافي- تقليل الملح والبروتين,الرجال- الأشخاص الذين يتناولون أطعمة غنية بالأملاح
التهاب العصب السابع,شلل مؤقت في عضلات الوجه بسبب التهاب العصب الوجهي,حاد- مزمن,ضعف عضلات الوجه- تدلي الجفن- صعوبة إغلاق العين,العدوى الفيروسية- الضغط على العصب,العلاج الطبيعي- مضادات الفيروسات- الكورتيزون,بريدنيزون- أسيكلوفير,تجنب التعرض المفاجئ للبرد- تقوية المناعة,الأشخاص الذين يعانون من ضعف المناعة
متلازمة النفق الرسغي,ضغط على العصب الوسطي في المعصم يسبب تنميلًا وضعفًا في اليد,خفيف- متوسط- شديد,خدر في الأصابع- ألم في المعصم- ضعف قبضة اليد,الحركات المتكررة- التهابات المفاصل,ارتداء الجبائر- تمارين اليد- الجراحة في الحالات المتقدمة,فيتامين B6- ديكلوفيناك جل,تجنب الحركات المتكررة- استخدام أدوات مريحة,مستخدمو الكمبيوتر لفترات طويلة
الرباط الصليبي الأمامي المقطوع,إصابة خطيرة في الركبة تسبب عدم استقرار المفصل,جزئي- كلي,ألم حاد- تورم في الركبة- عدم القدرة على المشي,الحركات المفاجئة- الإصابات الرياضية,العلاج الطبيعي- الجراحة- التمارين التأهيلية,مسكنات الألم- جل مضاد للالتهاب,تمارين تقوية الركبة- تجنب الحركات العنيفة,الرياضيون- الأشخاص الذين يمارسون الأنشطة البدنية المكثفة
الحمى الروماتيزمية,مرض مناعي يحدث بعد التهاب الحلق البكتيري,بسيطة- شديدة,آلام المفاصل- حمى- طفح جلدي,عدوى بكتيرية بالمكورات العقدية,مضادات الالتهاب- المضادات الحيوية,بنسيلين- أسبرين,علاج التهاب الحلق بسرعة- تجنب العدوى,الأطفال- المراهقون
التهاب الحوض,عدوى تصيب الأعضاء التناسلية الأنثوية,حاد- مزمن,ألم بطني- إفرازات غير طبيعية- حمى,عدوى بكتيرية منقولة جنسيًا,المضادات الحيوية- مسكنات الألم,دوكسيسيكلين- ميترونيدازول,استخدام الواقي الذكري- الفحص المنتظم,النساء الناشطات جنسيًا
متلازمة كوشينغ,اضطراب هرموني ناتج عن زيادة الكورتيزول,وراثية- مكتسبة,زيادة الوزن- ترقق الجلد- وجه دائري,أورام الغدة الكظرية- تناول الكورتيزون لفترة طويلة,تقليل الكورتيزون- الجراحة في بعض الحالات,كيتوكونازول- ميتيرابون,تقليل تناول الكورتيزون بدون إشراف طبي,مرضى الاضطرابات الهرمونية
التهاب الملتحمة التحسسي,التهاب العين بسبب رد فعل تحسسي,موسمي- دائم,احمرار العين- حكة- إفرازات دمعية,التعرض لحبوب اللقاح- الغبار- وبر الحيوانات,قطرات مضادة للحساسية- مضادات الهيستامين,أولوباتادين- ليفوستين,تجنب مسببات الحساسية- استخدام النظارات الواقية,مرضى الحساسية
التهاب الجيوب الأنفية الفطري,التهاب ناتج عن عدوى فطرية تصيب الجيوب الأنفية,حاد- مزمن,احتقان- صداع- إفرازات أنفية كثيفة,ضعف المناعة- التعرض للرطوبة العالية,مضادات الفطريات- غسول الأنف الملحي,أمفوتيريسين ب- فلوكونازول,تجنب الأماكن الرطبة- تقوية المناعة,مرضى السكري- ضعيفو المناعة
التهاب لسان المزمار,التهاب خطير يصيب لسان المزمار مما يعيق التنفس,بكتيري- فيروسي,صعوبة في التنفس- حمى- صوت خشن,عدوى بكتيرية بالمستدمية النزلية,المضادات الحيوية- الأكسجين- أدوية الكورتيزون,سيفترياكسون- ديكساميثازون,التطعيم ضد المستدمية- تجنب العدوى,الأطفال- مرضى ضعف المناعة
مرض باركنسون,اضطراب عصبي تدريجي يؤثر على الحركة,مبكر- متقدم,رعشة في اليدين- تصلب العضلات- بطء الحركة,نقص الدوبامين في الدماغ,أدوية تحفّز إنتاج الدوبامين- العلاج الطبيعي,ليفودوبا- براميبيكسول,ممارسة الرياضة- تناول أطعمة غنية بمضادات الأكسدة,كبار السن- الأشخاص الذين لديهم تاريخ وراثي
التهاب العظم والنقي,التهاب في نخاع العظم بسبب عدوى بكتيرية,حاد- مزمن,ألم شديد في العظم- تورم- حمى,إصابات العظام- جراحة سابقة,المضادات الحيوية- الجراحة في الحالات المتقدمة,فانكوميسين- سيفترياكسون,العناية بالجروح- تجنب الإصابات,مرضى السكري- المصابون بجروح مزمنة
داء البريميات,عدوى بكتيرية تصيب الكبد والكلى,حاد- مزمن,حمى- صداع- اصفرار الجلد- فشل كلوي,بكتيريا البريمية عبر المياه الملوثة,المضادات الحيوية- تعويض السوائل,دوكسيسيكلين- بنسلين,تجنب المياه الملوثة- ارتداء أحذية واقية,العاملون في الصرف الصحي- السباحون في المياه الراكدة
التهاب التامور,التهاب الغشاء المحيط بالقلب يسبب آلامًا في الصدر,فيروسي- بكتيري- مناعي,ألم في الصدر- خفقان- ضيق تنفس,عدوى فيروسية- أمراض مناعية,مضادات الالتهاب- مدرات البول- الراحة,إيبوبروفين- كولشيسين,تجنب العدوى- السيطرة على الأمراض المناعية,مرضى القلب- المصابون بأمراض مناعية
التهاب البنكرياس المزمن,التهاب مستمر في البنكرياس يسبب تليف الأنسجة,خفيف- شديد,ألم بطني مستمر- فقدان وزن- غثيان,تناول الكحول- الحصوات المرارية,المسكنات- إنزيمات البنكرياس,بانكريليباز- أسيتامينوفين,تقليل تناول الدهون- تجنب الكحول,المدخنون- المصابون بحصوات المرارة
السعار (داء الكلب),مرض فيروسي قاتل يصيب الجهاز العصبي,عدواني- صامت,تشنجات- هلوسة- صعوبة في البلع,عضة من حيوان مصاب,مصل مضاد للفيروس- تطعيم سريع,لقاح السعار- مسكنات الألم,تجنب الحيوانات المشتبه بها- التطعيم الوقائي,الأشخاص الذين يتعاملون مع الحيوانات
التهاب الأوتار,التهاب يصيب الأوتار العضلية بسبب الإجهاد المتكرر,الكتف- الركبة- المعصم,ألم عند الحركة- تيبس المفصل,الحركات المتكررة- قلة التمدد العضلي,العلاج الطبيعي- مضادات الالتهاب,إيبوبروفين جل- كريم ديكلوفيناك,تمارين التمدد- تجنب الحركات المتكررة,الرياضيون- العمال اليدويون
التسمم بالزئبق,تراكم الزئبق في الجسم مما يسبب تلف الجهاز العصبي,حاد- مزمن,رعشة- ضعف الذاكرة- تغيرات في المزاج,تناول الأسماك الملوثة- استنشاق أبخرة الزئبق,التخلص من التعرض للزئبق- العلاجات المخلبية,ديميركابرول- سكسيمير,تقليل استهلاك الأسماك الملوثة- تجنب المنتجات التي تحتوي على زئبق,العاملون في المصانع الكيميائية
التهاب العظم والغضروف,اضطراب يسبب تفكك الغضروف في المفاصل,مبكر- متقدم,ألم عند الحركة- تيبس المفاصل- تورم,تقدم العمر- السمنة- الإصابات المتكررة,العلاج الطبيعي- أدوية تخفيف الألم,غلوكوزامين- كوندرويتين,الحفاظ على الوزن- ممارسة الرياضة,كبار السن- الرياضيون
التهاب الشعب الهوائية المزمن,التهاب طويل الأمد في الممرات الهوائية,بسيط- متقدم,سعال مزمن- ضيق تنفس- بلغم كثيف,التدخين- التلوث الهوائي,موسعات الشعب- العلاج الطبيعي,سالبيوتامول- تييوتروبيوم,الإقلاع عن التدخين- تجنب الملوثات,المدخنون- مرضى الجهاز التنفسي
التهاب العصب البصري,التهاب في العصب الذي ينقل الإشارات من العين إلى الدماغ,حاد- مزمن,فقدان الرؤية الجزئي- ألم عند تحريك العين,التصلب المتعدد- العدوى الفيروسية,الستيرويدات- فيتامينات الأعصاب,بريدنيزون- فيتامين B12,تجنب الالتهابات الفيروسية- السيطرة على الأمراض المناعية,مرضى التصلب المتعدد- المصابون بعدوى فيروسية
هشاشة العظام,مرض يسبب ضعف العظام وزيادة خطر الكسور,أولي- ثانوي,آلام الظهر- قصر القامة التدريجي- سهولة حدوث الكسور,نقص الكالسيوم- انخفاض هرمون الإستروجين,مكملات الكالسيوم- تمارين تقوية العظام,كالسيتونين- بيسفوسفونات,تناول الكالسيوم- ممارسة الرياضة,النساء بعد سن اليأس- كبار السن
التهاب الصفاق,التهاب في الغشاء المبطن لتجويف البطن,بكتيري- كيميائي,ألم شديد في البطن- انتفاخ- حمى,انفجار الزائدة الدودية- الفشل الكلوي,المضادات الحيوية- الجراحة في بعض الحالات,سيفترياكسون- ميترونيدازول,تجنب العدوى- علاج مشاكل الجهاز الهضمي بسرعة,مرضى الكلى- المصابون بمشاكل الجهاز الهضمي
القدم السكرية,مضاعفات خطيرة لمرض السكري تؤدي إلى تقرحات والتهابات القدم,بسيطة- متقدمة,تقرحات- تنميل- ضعف التئام الجروح,ضعف تدفق الدم- تلف الأعصاب بسبب السكري,المضادات الحيوية- تحسين سكر الدم,أموكسيسيلين- كريمات مضادة للالتهابات,ضبط سكر الدم- العناية بالقدم,مرضى السكري- كبار السن
التهاب الحلق البسيط,تهيج في الحلق بسبب عدوى فيروسية خفيفة,حاد- مزمن,ألم الحلق- صعوبة البلع- بحة الصوت,العدوى الفيروسية- الهواء الجاف- الصراخ المتكرر,الغرغرة بالماء الدافئ- المسكنات الخفيفة,أقراص الاستحلاب- سبراي الحلق- باراسيتامول,تجنب التدخين- شرب السوائل الدافئة,الأطفال- الأشخاص الذين يتحدثون لفترات طويلة
حساسية الأنف الموسمية,رد فعل تحسسي يحدث في مواسم معينة,موسمية- دائمة,عطس- سيلان أنف- حكة بالعين,حبوب اللقاح- الغبار- وبر الحيوانات,مضادات الهيستامين- بخاخات الأنف,لوراتادين- فيكسوفينادين- بخاخ فلوتيكازون,تجنب المهيجات- استخدام فلاتر الهواء,المصابون بحساسية وراثية
تورم العين البسيط,انتفاخ حول العين بسبب الحساسية أو قلة النوم,مؤقت- مزمن,انتفاخ- احمرار- شعور بالثقل حول العين,قلة النوم- الحساسية- الجفاف,كمادات باردة- شرب الماء- مضادات الحساسية,قطرات الهيستامين- كريم تبريد العين,النوم الجيد- تقليل استخدام الشاشات,الأشخاص الذين يعانون من الحساسية- قليلو النوم
تشقق الكعبين,جفاف الجلد في منطقة الكعب يسبب تشققات مؤلمة,سطحية- عميقة,جفاف- خشونة- نزيف خفيف أحيانًا,نقص الترطيب- المشي بدون حذاء,استخدام كريمات ترطيب مكثفة- تجنب الوقوف الطويل,كريم اليوريا- الفازلين الطبي,ارتداء الجوارب- ترطيب القدمين بانتظام,الأشخاص ذوو البشرة الجافة- كبار السن
الغثيان البسيط,شعور بعدم الراحة في المعدة يؤدي للرغبة في القيء,مؤقت- مزمن,دوخة- تعب- فقدان شهية,دوار الحركة- تناول طعام ملوث- القلق,شرب الزنجبيل- تناول أدوية مضادة للغثيان,دومبيريدون- ميكليزين- بيسموت سبساليسيلات,تجنب الأطعمة الدهنية- تناول وجبات صغيرة,الحوامل- المسافرون لمسافات طويلة
التهاب زوايا الفم,التهاب في زوايا الشفاه يسبب احمرارًا وألمًا,فطري- بكتيري- تحسسي,تشقق- تقشر- حكة في زوايا الفم,نقص الفيتامينات- اللعاب الزائد- الحساسية,استخدام كريمات مضادة للفطريات- ترطيب الشفاه,كريم ميكونازول- مرهم الهيدروكورتيزون,تجنب لعق الشفاه- تناول مكملات الفيتامينات,مرضى السكري- الأشخاص الذين يعانون من نقص فيتامين B
ألم المفاصل البسيط,انزعاج خفيف في المفاصل بسبب التعب أو الالتهاب الطفيف,مؤقت- مزمن,تصلب- ألم خفيف- تورم بسيط,النشاط البدني المفرط- التقدم في العمر- قلة الحركة,استخدام كريمات مضادة للالتهاب- ممارسة تمارين خفيفة,ديكلوفيناك جل- إيبوبروفين,الحفاظ على الوزن- ممارسة التمارين,كبار السن- الأشخاص الذين يجلسون لفترات طويلة
الإرهاق الحراري,تعب عام بسبب التعرض الطويل لدرجات الحرارة المرتفعة,بسيط- متوسط,دوخة- تعرق مفرط- صداع,التعرض للشمس لفترة طويلة- الجفاف,شرب الماء- التبريد الفوري- الراحة,أملاح الإماهة الفموية- مسكنات خفيفة,ارتداء ملابس خفيفة- شرب الماء بانتظام,العمال في الأماكن المفتوحة- الرياضيون
انتفاخ تحت العين,تراكم السوائل تحت العين يسبب مظهرًا متعبًا,مؤقت- وراثي,انتفاخ- هالات داكنة- ترهل الجلد,قلة النوم- الحساسية- احتباس السوائل,تدليك المنطقة- استخدام كمادات باردة,جل الكافيين للعين- كريمات فيتامين C,النوم المنتظم- تقليل الملح في الطعام,الأشخاص الذين يعانون من قلة النوم- كبار السن
لسعات الشمس الخفيفة,احمرار في الجلد بسبب التعرض المفرط للشمس,خفيفة- متوسطة,احمرار- حرارة في الجلد- حكة,التعرض الطويل لأشعة الشمس بدون حماية,تطبيق جل مهدئ- شرب السوائل- تجنب التعرض المباشر للشمس,جل الألوفيرا- كريم بانثينول,استخدام واقي الشمس- تجنب الشمس وقت الذروة,الأشخاص ذوو البشرة الفاتحة- المصطافون
نزلات البرد العادية,عدوى فيروسية تصيب الجهاز التنفسي العلوي,خفيفة- متوسطة,سيلان الأنف- عطس- احتقان- كحة خفيفة,الفيروسات (مثل فيروس الأنفلونزا)- ضعف المناعة,الراحة- شرب السوائل- استخدام بخاخات الأنف,باراسيتامول- سودوإيفيدرين- فيتامين C,غسل اليدين- تجنب المصابين- تقوية المناعة,الأطفال- كبار السن- ضعيفو المناعة
التهاب اللثة البسيط,التهاب خفيف في أنسجة اللثة يسبب نزيفًا عند تنظيف الأسنان,بسيط- متقدم,احمرار- نزيف- انتفاخ بسيط في اللثة,تراكم الجير- سوء العناية بالفم,تنظيف الأسنان- استخدام غسول الفم المطهر,غسول كلورهكسيدين- مسكنات الألم الموضعية,تنظيف الأسنان مرتين يوميًا- زيارة طبيب الأسنان,المدخنون- الأشخاص ذوو نظافة الفم السيئة
آلام الأسنان المؤقتة,ألم ناتج عن حساسية الأسنان أو التهابات خفيفة,خفيفة- متوسطة,ألم عند تناول المشروبات الساخنة أو الباردة,تسوس بسيط- التهاب اللثة- تآكل المينا,استخدام معجون أسنان مخصص للحساسية- المسكنات,بنزوكايين جل- إيبوبروفين- باراسيتامول,تجنب الأطعمة السكرية- تنظيف الأسنان بانتظام,الأشخاص الذين يستهلكون الكثير من السكر- كبار السن
التهاب المعدة الخفيف,تهيج في بطانة المعدة يسبب عدم راحة,مؤقت- مزمن,ألم في المعدة- غثيان- فقدان شهية,الأطعمة الحارة- التدخين- القلق,تناول مضادات الحموضة- تقليل التوتر,أوميبرازول- رانيتيدين- مالوكس,تجنب الكحول- تناول الطعام ببطء,المصابون بالتوتر المزمن- المدخنون
آلام الأذن الخفيفة,ألم بسيط ناتج عن التهاب الأذن الخارجية أو تراكم الشمع,مؤقت- مزمن,طنين- ألم عند لمس الأذن- حكة,العدوى الفيروسية- الماء المحتبس في الأذن,استخدام قطرات ملطفة للأذن- المسكنات,قطرات بيروكسيد الهيدروجين- باراسيتامول,تجفيف الأذن بعد السباحة- تجنب استخدام أعواد القطن,الأطفال- الأشخاص الذين يسبحون بكثرة
تقلصات البطن البسيطة,تشنجات خفيفة في المعدة ناتجة عن الغازات أو عسر الهضم,مؤقتة- متكررة,ألم بطني متقطع- انتفاخ- غازات,تناول أطعمة دسمة- توتر- قلة الحركة,المشروبات الدافئة- تدليك البطن,سيميثيكون- مستخلص النعناع- الفحم النشط,المشي بعد الأكل- تجنب المشروبات الغازية,الأشخاص الذين يتناولون أطعمة غنية بالدهون- مرضى القولون
السعال الجاف البسيط,سعال بدون بلغم نتيجة تهيج الحلق أو الحساسية,مؤقت- مزمن,كحة جافة- شعور بالدغدغة في الحلق,الغبار- التدخين- جفاف الهواء,أقراص استحلاب- ترطيب الحلق- مضادات الحساسية,ديكستروميثورفان- لوراتادين- عسل النحل,تجنب الملوثات- شرب السوائل الدافئة,المدخنون- مرضى الحساسية
حرقة العين,شعور بالحرقان في العين بسبب الجفاف أو الحساسية,مؤقت- مزمن,احمرار- دموع زائدة- حكة,التعرض للغبار- التحديق في الشاشات لفترات طويلة,قطرات مرطبة- تجنب المثيرات,قطرات سيستين- قطرات تيرز ناتشورال,تقليل وقت استخدام الشاشة- ارتداء النظارات الواقية,مستخدمو الشاشات- الأشخاص الذين يعانون من الحساسية
التهاب الشرج البسيط,تهيج أو احمرار في منطقة الشرج بسبب الاحتكاك أو البواسير الخفيفة,مؤقت- مزمن,حكة- حرقة- عدم راحة عند الجلوس,الإمساك- استخدام ورق تواليت خشن- التعرق,الكريمات الملطفة- تجنب الاحتكاك الشديد,كريم هيدروكورتيزون- تحاميل الجلسرين,استخدام مناديل مبللة- تجنب الجلوس لفترات طويلة,الأشخاص المصابون بالإمساك- كبار السن
الدوالي الخفيفة,ظهور أوردة زرقاء تحت الجلد بدون ألم شديد,بسيطة- متقدمة,تورم بسيط في الساقين- شعور بالثقل,الوقوف لفترات طويلة- ضعف الأوردة الوراثي,رفع الساقين- الجوارب الضاغطة,كريم الهيبارين- مرهم فينوتون,تجنب الوقوف الطويل- ممارسة الرياضة,النساء- الأشخاص الذين يعملون واقفين
التهاب الحنجرة البسيط,التهاب في الأحبال الصوتية يسبب بحة الصوت,حاد- مزمن,بحة في الصوت- جفاف الحلق- كحة خفيفة,الإفراط في استخدام الصوت- التهابات فيروسية,الراحة الصوتية- ترطيب الحلق,أقراص الاستحلاب- بخاخات الحلق- باراسيتامول,تجنب الصراخ- شرب السوائل الدافئة,المعلمون- المغنون- المدخنون
الإجهاد البدني,تعب عام ناتج عن مجهود بدني زائد أو قلة النوم,خفيف- متوسط- شديد,تعب- ضعف عضلي- دوخة- صداع,قلة النوم- الإجهاد الجسدي- نقص الفيتامينات,الراحة- التغذية الجيدة- شرب السوائل,مكملات فيتامين B12- مشروبات الطاقة الطبيعية,النوم الكافي- التوازن بين العمل والراحة,الرياضيون- العاملون لساعات طويلة
ألم الرقبة البسيط,انزعاج في عضلات الرقبة بسبب الوضعية الخاطئة أو التوتر,مؤقت- مزمن,تصلب الرقبة- صداع خفيف- ألم عند الحركة,الجلوس الطويل- استخدام الهاتف لفترات طويلة,تمارين الإطالة- كمادات دافئة- تدليك الرقبة,ديكلوفيناك جل- مسكنات موضعية,تحسين وضعية الجلوس- ممارسة التمارين,العاملون أمام الكمبيوتر- مستخدمو الهواتف بكثرة
تنميل الأطراف البسيط,إحساس بالوخز أو الخدر في اليدين أو القدمين,مؤقت- متكرر,إحساس بالوخز- خدر بسيط- ضعف خفيف,نقص الفيتامينات- الجلوس الخاطئ- قلة الحركة,تدليك المنطقة- تحريك الأطراف- تناول مكملات غذائية,مكملات فيتامين B12- كريمات تدفئة الأعصاب,الحركة المنتظمة- تناول غذاء متوازن,مرضى السكري- الأشخاص الذين يجلسون لفترات طويلة
اضطرابات النوم البسيطة,صعوبة في النوم أو الاستيقاظ المتكرر أثناء الليل,أرق- استيقاظ مبكر,تعب أثناء النهار- قلة التركيز- تغيرات مزاجية,القلق- تناول الكافيين- تغير مواعيد النوم,تحسين الروتين الليلي- تمارين استرخاء,ميلاتونين- مغنيسيوم- شاي البابونج,تجنب الشاشات قبل النوم- تقليل الكافيين,الأشخاص الذين يعملون بنظام المناوبات
ألم الكتف البسيط,انزعاج في عضلات أو مفصل الكتف نتيجة الإجهاد,مؤقت- متكرر,تصلب الكتف- ألم عند تحريكه- ضعف طفيف,الوضعية الخاطئة- رفع أشياء ثقيلة,التمارين الخفيفة- العلاج الطبيعي- المسكنات,كريم مسكن موضعي- لصقات حرارية,تجنب حمل الأشياء الثقيلة- ممارسة تمارين تقوية الكتف,الرياضيون- العاملون بالأعمال اليدوية
تورم الأصابع البسيط,انتفاخ خفيف في أصابع اليد أو القدم بسبب احتباس السوائل أو الإصابات الطفيفة,مؤقت- متكرر,انتفاخ- احمرار بسيط- شعور بالثقل,الجلوس لفترات طويلة- الجو البارد- ضربات خفيفة,تحريك الأصابع- استخدام كمادات باردة,كريمات مسكنة- أقراص مدرة للبول خفيفة,ممارسة الرياضة- تجنب التعرض للبرد لفترات طويلة,كبار السن- الأشخاص المصابون بضعف الدورة الدموية
جفاف الجلد البسيط,فقدان الرطوبة من الجلد مما يؤدي إلى تشققه,خفيف- متوسط,تشقق- خشونة- حكة خفيفة,الطقس البارد- الاستحمام بالماء الساخن- قلة الترطيب,استخدام كريمات مرطبة- تجنب الماء الساخن,كريم اليوريا- زيت جوز الهند- بانثينول,ترطيب الجلد يوميًا- شرب الماء بكثرة,أصحاب البشرة الجافة- الأشخاص الذين يعيشون في مناطق باردة
خفقان القلب البسيط,إحساس بتسارع أو عدم انتظام نبضات القلب لفترة قصيرة,مؤقت- متكرر,إحساس بخفقان سريع- دوخة خفيفة- قلق,التوتر- الكافيين- قلة النوم,تقليل التوتر- تمارين التنفس العميق,مغنيسيوم- مكملات بوتاسيوم- أعشاب مهدئة,تقليل تناول الكافيين- النوم الجيد,الأشخاص الذين يعانون من القلق
احتباس السوائل البسيط,تراكم السوائل في الجسم مما يسبب انتفاخًا بسيطًا,مؤقت- متكرر,تورم خفيف في الأطراف- شعور بالثقل- تغير في الوزن,تناول الملح بكثرة- قلة الحركة- الدورة الشهرية,شرب الماء- تقليل الصوديوم- الحركة المستمرة,مدرات بول طبيعية- شاي الهندباء,تقليل تناول الملح- ممارسة التمارين الرياضية,النساء أثناء الدورة الشهرية- كبار السن
ضعف الأظافر,تكسر الأظافر بسهولة بسبب نقص التغذية أو العوامل البيئية,مؤقت- مزمن,هشاشة الأظافر- تقشير الأطراف- بطء النمو,نقص الفيتامينات- التعرض للماء لفترات طويلة,تناول مكملات غذائية- استخدام زيوت مقوية للأظافر,بيوتين- زيت اللوز- مقويات الأظافر,ارتداء القفازات عند استخدام الماء- تناول غذاء متوازن,النساء- الأشخاص الذين يستخدمون مواد تنظيف قوية
الإحساس بالبرودة في الأطراف,برودة مستمرة في اليدين أو القدمين بسبب ضعف الدورة الدموية,مؤقت- مزمن,تنميل- إحساس بالبرد حتى في الجو الدافئ,ضعف تدفق الدم- التدخين- نقص الحديد,تدليك الأطراف- تناول مكملات غذائية,فيتامين B12- مكملات الحديد- كريمات تدفئة,ارتداء ملابس دافئة- ممارسة الرياضة,مرضى الأنيميا- المدخنون
تهيج العين بسبب الغبار,شعور بعدم الراحة نتيجة تعرض العين للغبار أو الهواء الجاف,مؤقت- مزمن,احمرار- حكة- دموع زائدة,التعرض المباشر للأتربة- الهواء الجاف,شطف العين بماء نظيف- استخدام قطرات مرطبة,قطرات ترطيب العين- محلول ملحي للعين,ارتداء نظارات واقية- تجنب الأماكن المليئة بالغبار,الأشخاص الذين يعملون في مواقع مفتوحة
