الاسم,العنوان,مواعيد العمل,رقم الهاتف,الموقع الالكتروني,خطوط العرض2,دوائر الطول2
معامل أوتولاب,برج السلكاوي أعلى صيدلية السرايا 46 حسين بيك المنصورة ثان المنصورة,من السبت الي يالخميس:من 9ص الي 11.30م,502361696,https://www.facebook.com/share/199CEzeuYK,31.03311111,31.36305556
معامل المجد , فرع احمد ماهر بجوار اولاد رجب امام ابراهيم العش للسيارات برج الشروق الدور الارضي- المنصورة,يعمل علىي مدار اليوم , 01005850848 – 0502394755,https://www.facebook.com/share/189c98xnV9,31.03311111,31.36305556
معامل المجد ,فرع مساكن الشناوي عمارة رقم ?? امام حلواني عبد المجيد – المنصورة,يعمل علىي مدار اليوم ,01093509993 – 01020520457,https://www.facebook.com/share/189c98xnV10,31.0403,31.3902
معامل المجد ,فرع توريل امام البوابه الرئيسيه لنادى الشرطه عمارة الجمل – المنصورة,يعمل على مدار اليوم,01001063647 – 0502310095,https://www.facebook.com/share/189c98xnV11,31.053259,31.399638
معامل المجد ,فرع سلامون القماش بجوار صيدلية عليوه – سلامون,يعمل على مدار اليوم,01226300583 – 01273489540,https://www.facebook.com/share/189c98xnV12,31.0709,31.4595
معامل الفا, ش عاطف المنجيمن  شارع الجمهورية,"من السبت الي الخميس: من 8ص الي12ص
الجمعة: من 9ص الي 4م",1200790569,https://alfalaboratory.com/?fbclid=IwZXh0bgNhZW0CMTEAAR7Qgb7aPHsZNB9s29GE3Iu5FxT0ZL55P5NpWf8QbKtOPdm7cFqT9QzKYxLajg_aem_rKdToTQoYDFrpyoywWehlw,31.04555556,31.36552778
معامل البرج, الجلاء اول المنصورة,علي مدار الاسبوع :من 8ص الي 10.30م,1117772806,https://alborglab.com/?fbclid=IwZXh0bgNhZW0CMTEAAR6Ppr17VpwFX-z1iECMsKQiqzJBrn63z8MjIAkdRES2jgcMgeLyaSsoeTYFfQ_aem_pbWV-jegHXVd6wJcjD_hPw,31.04108333,31.36416667
معمل الرواد للتحاليل الطبيه,العنوان قناة السويس المنصورة (قسم 2),من السبت لي الخميس:  من 10ص الي 11.30م,1061612934,https://www.facebook.com/share/1FaRHvofgZ,31.05297222,31.40883333
معامل زهران للتحاليل الطبيه,العنوان الجلاء  المنصورة (قسم 2),من السبت الي الخميس:  من 10ص الي 10م,502230070,https://www.facebook.com/share/1CKha1haAF/,31.03891667,31.37222222
معامل رؤية للتحاليل الطبية,العنوان ميت حدر محمد فريد  المنصورة (قسم 2),علي مدار الاسبوع: من 9ص الي 11م,1066995536,https://www.facebook.com/ROAYA.LAB11?sfnsn=scwspwa&mibextid=RUbZ1f,31.04666667,31.38658333
معمل ميدلاب للتحاليل الطبية وأمراض الدم,ميت بدر خميس  المنصورة,علي مدار الاسبوع: من 9ص الي 11م,1090014900,https://www.facebook.com/share/18qncewuzu,31.03672222,31.36005556
معمل تحاليل الدكتوره شيرين العشرى بشها,المنصوره ش البحر,"الاثنين:من 7ص الي 12ص
الثلاثاء : من 7ص الي 10.30م
الأربعاء: من 7ص الي 12ص
الخميس: من 10ص الي 12.30ص
الجمعة: من 3.30ص الي 12ص
السبت: من 12م الي 12ص
الأحد: من 7.30ص الي 12ص",1007152725,https://www.facebook.com/share/12H5sr3n6Vc,31.058256,31.413206
معمل (  فاطمة لاب  ) للتحاليل الطبية,عمارة بريدة  رقم 8 شارع الخليفة المأمون متفرع من ش أحمد ماهر مقابل السجل المدني,علي مدار الاسبوع: من 9ص الي 12ص,1032805830,https://www.facebook.com/share/156Jag3ytr,31.03063889,31.36105556
معامل حساب للتحاليل الطبية,المنصورة جيهان السادات ميت خميس وكفر الموجي,"من السبت الي الخميس: من 8ص الي 10م
الجمعة: من 10ص الي 5م",502948811,https://hassab.com/site/ar/%d8%a7%d9%84%d8%b1%d8%a6%d9%8a%d8%b3%d9%8a%d8%a9/?sfnsn=scwspwa,31.04427778,31.3655
معمل طيبة لتحاليل الطبية بمنية النصر, العنوان النصر دقهلية  شارع المستشفي برج النور الدور التالت,من السبت الي الخميس: من 9ص الي 10م,1095303234,https://www.facebook.com/share/1BNDAAdU1t,31.05247222,31.40186111
معمل العطار لتحاليل الطبية,العنوان 15 بنك مصر المنصورة (قسم 2),"من السبت الي الخميس : من 10ص الي 12م
الجمعة:  من 10ص الي 12ص",502313089,https://www.facebook.com/share/1AFZaxp11v,31.046,31.38502778
معمل المختبر,شارع الجمهورية - بجوار بنك مصر ,"من الاحد الي الخميس:  من 8ص الي 11م
الجمعة والسبت :  من 9ص الي 11م",1090011206,https://almokhtabar.com/?fbclid=IwZXh0bgNhZW0CMTEAAR6YO5khCLZIAO4NG3b1IUm877gzj99WF51HJTGbuN_Ed6zhgjfXivMwAluQ_w_aem_dEMVjSoWkVTaLA4675fFHw&sfnsn=scwspwa,31.04763889,31.38344444
معمل المختبر,ش الجمهوريه بجانب مستشفي الجزيره الدولي,"من الاحد الي الخميس:  من 8ص الي 11م
الجمعة و السبت:  من 9ص الي 11م",1090011298,https://almokhtabar.com/?fbclid=IwZXh0bgNhZW0CMTEAAR6YO5khCLZIAO4NG3b1IUm877gzj99WF51HJTGbuN_Ed6zhgjfXivMwAluQ_w_aem_dEMVjSoWkVTaLA4675fFHw&sfnsn=scwspwa,31.0451,31.3655
معامل صحتى, العنوان دور ? برج الشرق شارع جيهان حى  الجلاء,من السبت الي الخميس:  من 10ص الي 10م,1001139993,لا يتوفر,31.04136111,31.3645
معمل القمه,ميدان المحطه برج اللؤلؤه الدول 7,لا يتوفر معلومات,1006655390,https://elqemma-lab.com/Login/,31.040955,31.378469
معمل النحاس,فرع الجامعة : المنصورة شارع الأشقر المتفرع من شارع الجمهورية أمام مركز الكلي والمسالك البولية,من السبت الي الخميس:  من 9ص الي 10م,19244 – 01014366656  – 01222671256,https://al-nahas.com/?fbclid=IwZXh0bgNhZW0CMTEAAR2oE6yRGl7hddTc8TGhaWFVlmkaIBDhg5AB6ihuJFWzYMaLqTMuYUIGqcE_aem__90MGUws-gYBq1k_EvuV-g&sfnsn=scwspwa,31.0452,31.3633
معمل الشروق,شارع جيهان حي الجلاء برج النور الدور الخامس,من السبت الي الاربعاء:  من 1م الي 12ص,502944840,https://www.facebook.com/share/1LTGp7aaPa,31.041372,31.364525
معامل أوبرا للتحاليل الطبية,ش الجمهوريه امام كلية طب اسنان اعلي بنك كريدي,علي مدار اليوم,502203190,https://www.facebook.com/share/14b7dr8z3V,31.045591,31.361342
معمل العميد,شارع العسقلاني متفرع من شارع مستشفي الصدر,علي مدار اليوم,0,https://elamed.com/?fbclid=IwZXh0bgNhZW0CMTEAAR57D7r4Iw7o46u8Ym6P0uRlYEx-x9R6tSxdbzx-sJlDP7MIiBXpIgPsiIzWpQ_aem_j49qJckgpmnaezY5wSPBVg&sfnsn=scwspwa,31.036317,31.376161
معمل الحياة,حي الجامعه امام كلية التربيه الرياضيه,علي مدار اليوم,1014866656,https://www.facebook.com/share/16Kd2jFWFm,31.036104,31.358246
معمل تكنو سكان,ميدان هابي لاند برج طيبة بجوار مستشفي الحكمه,"من السبت الي الخميس:  من 8ص الي 11م
الجمعة:  من 2ص الي 10م",0101-2221-036,https://technoscan.com.eg/,31.047606,31.388264
معمل ال حمامة,ش الجمهورية اعلي البنك الاهلي,من السبت الي الخميس:  من 10ص الي 12ص,1004066158,https://www.facebook.com/AlHamamaLab,31.047089,31.384121
مختبرات العرب الدوليه,شارع الجمهورية – برج قصر النيل – بجوار بنك مصر – الدور التاسع,من السبت الي الخميس:  من 9ص الي 11م,1100987982,https://www.arabilabs.com/,31.047297,31.384404
مركز التشخيص والاستشارات الجينية,ش بنك مصر متفرع من ش البحر,من السبت الي الخميس:  من 10ص الي 10م,1099922205,http://www.gdc-egypt.com/,31.046796,31.385018
معمل اهل ايجيبت,محطة القطار برج المندوة الاداري,من السبت الي الخميس:  من 8ص الي 9م,1507217202,https://www.facebook.com/1Ahlegypt/,31.046522,31.387744
معمل النور,جيهان السادات ميت بدر خميس اول المنصورة,من السبت الي الخميس:  من 9ص الي 10م,1033477453,https://www.facebook.com/share/155ummgLHo,31.041371,31.364423
معمل الفاروق,ش رشاد قاسم متفرع من شارع الجيش ,من السبت الي الخميس:  24 ساعه,1026089002,https://www.facebook.com/share/16EykFfWv4/,31.018194,31.392144
معمل ابشر,خلف حلواني الرضا شارع مصعب بن عمير,"من السبت الي الخميس:  من 9ص الي 11م
الجمعة:  من 2م الي 11م",502205432,https://web.facebook.com/absherlab1,31.033128,31.356472
معمل بداية,ميدان المحطة برج الكوثر الدور الرابع,"من السبت الي الخميس:  من 10ص الي 10م
الجمعة:  من 12م الي 6م",1550565005,http://facebook.com/Bedaya.lab.mansoura,31.044915,31.387741
معمل الوادي,دوران جديله برج المروة بجوار صيدليه جديله,يوميا:  من 10ص .حتى 12ص,1503063060,https://www.facebook.com/Alwady-Medical-Laboratory_-%D9%85%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D9%88%D8%A7%D8%AF%D9%8A-%D9%84%D9%84%D8%AA%D8%AD%D8%A7%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9-108513958449909/,31.058927,31.406929
معامل ميترا بالمنصورة, 30 شارع الجمهورية امام مركز طب وجراحة العيون بالقرب من بوابة البارون الدور الثانى,يوميا:  من 8.30ص .حتى 11.30م,0502202847 01000070690,https://metra.me/?fbclid=IwZXh0bgNhZW0CMTEAAR5D53RF_FdwSWauVMT826suG0cLsQdrux4mxqxAGqLHR399xVkEKjEPWtTgng_aem_4npFqelGv2dTRz6l3gWh4A&sfnsn=scwspwa,31.0455,31.35836111
معمل ا.د/صلاح اغا,امام بوابه القريه الاولمبية جيهان السادات المنصورة قسم 2,من السبت الي الخميس:  من 9ص الي 11م,1555590535,https://www.facebook.com/share/15B8P4aJnU,31.03644444,31.36005556
معمل الشفاء للتحاليل الطبية,بجوار الكنيسة خلف مركز الرحمة قبل مدخل المثلث منزل رقم 8 شارع مجمع الرحمن مدينة طلخا,علي مدار الاسبوع:  من 9ص الي 12ص,1008958572,https://www.facebook.com/share/18mt1FVrgq,31.05527778,31.38594444
معمل الشفاء للتحاليل الطبية الكيميائية,بجوار مسجد الغنام برج الاطباء الموقف القديم شارع عاطف,من السبت الي الخميس:  من 10ص الي 10م,1008958572,https://www.facebook.com/share/18mt1FVrgq,31.05166667,31.37961111
معمل الشفاء للتحاليل الطبية,15 شارع محمود حمدى شارع نقابه الاطباء الدور الأرضى بجوار مستشفى المنصورة الدولى,من السبت الي الخميس:  من 9ص الي 9م,1005053897,لا يتوفر,31.0331,31.3913
معمل دار الشفاء للتحاليل الطبية,بجوار بن علاء الدين و أمام المصرية للطباعة 19 شارع المستشفى العام القديم,"من السبت الي الاربعاء:  من 10ص الي 10م
الخميس:  من 10ص الي 6.30م",1090709696,https://www.facebook.com/share/1ARNYQWwii,31.04230556,31.36647222
معمل الشفاء للتحاليل الطبيه الشامله,كفر بدواي القديم المنصورة الدقهلية,من السبت الي الخميس:  من 8.30ص الي 10م,1092613841,https://www.facebook.com/share/1XsD71XVSz,31.14219444,31.47488889
معمل mdlab,جيهان السادات ميت بدر خميس اول المنصورة,"من السبت الي الخميس:  من 9ص الي 12ص
الجمعة:  من 12م الي 8م",1090014900,https://www.facebook.com/share/18g5bUGLkq,31.03669444,31.36005556
معمل الفا كير للتحاليل الطبيه,اعلي الربيع للنظارات طريق سندوب منية سندوب اول المنصورة,يوميا: من ?ص حتي ??م,1097507577,https://www.facebook.com/share/1CM1RWEumZ,31.01813889,31.39108333
معمل الرحمة,مصعب إبن نمير المنصورة قسم 2 المنصورة,من السبت الي الخميس:  من 9ص الي 9م,1010430312,https://www.facebook.com/share/1ENWCDmHio,31.03211111,31.37030556
معمل رويال لاب للتحاليل الطبيه,شارع بلقاس مدينة طلخا,من السبت الي الخميس:  من 9ص الي 11م,1002845056,لا يتوفر,31.05813889,31.37688889
معامل Mga Lab,صيدلية الغزالى شارع حسين بيك المنصورة قسم 2,من السبت الي الخميس:  من 10ص الي 10م,1275580027,https://www.facebook.com/share/15Cr5nVkbn,31.04272222,31.38455556
معمل ميجا لاب للتحاليل الطبيه,المنصورة حسين بك أمام تنظيم الأسرة أعلى الوكالة الفرنسية الدور التانى علوى,من السبت الي الخميس:  من 10ص الي 10م,01275580027 0502301742,https://www.facebook.com/share/15Cr5nVkbn,31.04272222,31.38452778
معمل السلام للتحاليل الطبية,شارع عبد السلام عارف امام مسجد السلام,من السبت الي الخميس:  من 10ص الي 10م,1007031131,https://www.facebook.com/share/16S6ow1CRT,31.03511111,31.38877778
معمل سالى لاب,بجوار مدرسة السلام الحسنية ش فلكس متفرع من حسين غالب بيه,"من السبت الي الاربعاء:  من 10.30ص الي 8.30م
الخميس:  من 10.30ص الي 5م",1028371599,https://www.facebook.com/share/16S6ow1CRT,31.04216667,31.38638889
معمل المنصورة الدولي,4 شارع بنك مصر اعلى صيدلية الطرشوبي,علي مدار الاسبوع:  من 10ص الي 9م,1207173600,لا يتوفر,31.03286111,31.39088889
معامل القنيشي للتحاليل الطبية,64 حسين بيك المنصورة قسم 2,من السبت الي الخميس:  من 9ص الي 10.30م,502215436,https://www.facebook.com/share/15WPcjzhST,31.04488889,31.38511111
معمل جولدن للتحاليل الطبيه,شارع الترعة بجوار حلواني اهل الشام برج الكمال,"من السبت الي الخميس:  من 9ص الي 11ذم
الجمعة:  من 10ص الي 11م",1027347000,https://www.facebook.com/share/18v65YfxB5,31.03738889,31.36283333
معمل اديسون,المنصورة چيهان شارع هنداوي برج الجامعة الطبي الدور الأول ميدان الهابي لاند برج طيبه الدور التاني,من السبت الي الخميس:  من 10ص الي 11م,1557274384,https://www.facebook.com/share/1E675pL3UN,31.04225,31.36488889
معمل التحاليل الطبية د.رزق الباز,طلخا بجوار صيدلية دكتورة لبني حلويات,من السبت الي الخميس:  من 10ص الي 12م,502532840,لا يتوفر,31.05327778,31.37997222
معمل أثر للتحاليل الطبيه,شارع الشهيد عاطف الشرقاوي مدينة طلخا,من السبت الي الخميس:  من 9ص الي 5م,1550583840,https://www.facebook.com/share/1AQThqExDX,31.05213889,31.37891667
معمل شمس للتحاليل الطبية,شمس في طلخا برج خفاجه في فرنش بيكر,علي مدار الاسبوع:  من 9ص الي 12ص,1282740738,http://m.alshamslabs.com/ar/branches.html?sfnsn=scwspwa,31.05327778,31.37997222
معمل استشاري,شارع المحطة الدولية المنصورة قسم 2,من السبت الي الخميس:  من 9ص الي 10م,1020887310,https://www.facebook.com/share/1H5WnjKqr5,31.04502778,31.39186111
معامل دكتور لاب للتحاليل الطبية,مدينة المنصورة -ميدان المحطة - بجوار فندق مارشال المحطة - أعلى صيدلية الطرشوبي - الدور الثامن,"من السبت الي الاربعاء:  من 10ص الي 10م
الخميس:  من 10ص الي 5م",1003644044,https://www.facebook.com/share/16NnapR6Ds,31.04563889,31.38766667
معمل الرحمن للتحاليل الطبية,المنصورة تقاطع الأتوبيس الجديد مع عزبة الشال أعلي مكتبة تايجر,من السبت الي الجمعة:  من 8ص الي 11م,1005753670,https://www.facebook.com/share/1F8MTnSiAg,31.03886111,31.37741667
معامل سيليا لاب فرع الجيش,شارع الجيش برج مستشفى تبارك الدور الأول أعلى حلواني الفيومي بجوار محطة الأتوبيس الدولي,من السبت الي الخميس:  من 9ص الي 11م,1096667997,https://celialabs.com/?fbclid=IwZXh0bgNhZW0CMTEAAR5zGTIzwkmrKHoJJRoso91UScyy0uADI5XwDcO9N5AYOkW0_eZkfE0fS7iyKQ_aem_071-jA24SVZXG_zheO7ACQ&sfnsn=scwspwa,31.03488889,31.40008333
معامل سيليا لاب فرع بنك مصر,شارع بنك مصر برج بدر أعل صيدلية خليفة الدور الثالث,من السبت الي الخميس:  من 9ص الي 11م,1100070750,https://celialabs.com/?fbclid=IwZXh0bgNhZW0CMTEAAR5zGTIzwkmrKHoJJRoso91UScyy0uADI5XwDcO9N5AYOkW0_eZkfE0fS7iyKQ_aem_071-jA24SVZXG_zheO7ACQ&sfnsn=scwspwa,31.04675,31.38483333
معامل سيليا لاب فرع طلخا,الموقف القديم شارع تقسيم غنام أعلى كويك إير للسياحة الدور الثاني أمام مدرسة عاطف الشرقاوي,من السبت الي الخميس:  من 9ص الي 11م,1061677645,https://celialabs.com/?fbclid=IwZXh0bgNhZW0CMTEAAR5zGTIzwkmrKHoJJRoso91UScyy0uADI5XwDcO9N5AYOkW0_eZkfE0fS7iyKQ_aem_071-jA24SVZXG_zheO7ACQ&sfnsn=scwspwa,31.04675,31.38483333