الاسم,الماده الفعاله,دواعي الاستخدام,الجرعة,تحذيرات
إيبوبروفين - Ibuprofen,إيبوبروفين,مسكن للألم وخافض للحرارة,200-400 mg كل 4-6 ساعات,قد يسبب تهيجًا للمعدة أو نزيف. لا يُستخدم مع مشاكل في الكلى أو الكبد.
باراسيتامول - Paracetamol,باراسيتامول,مسكن للألم وخافض للحرارة,500 mg كل 4-6 ساعات,تجنب الجرعات الزائدة لتجنب تلف الكبد.
أموكسيسيلين - Amoxicillin,أموكسيسيلين,مضاد حيوي لعلاج العدوى البكتيرية,500 mg كل 8 ساعات,قد يسبب طفح جلدي أو تفاعلات تحسسية. يجب تجنب استخدامه في حالة الحساسية للبنسلين.
ديكساميثازون - Dexamethasone,ديكساميثازون,علاج الالتهابات والحساسية,0.75-9 mg يوميًا حسب الحالة,قد يسبب ارتفاع السكر في الدم وزيادة الوزن. لا يُستخدم لفترات طويلة.
أتورفاستاتين - Atorvastatin,أتورفاستاتين,خافض للدهون في الدم,10-80 mg يوميًا,قد يسبب مشاكل في الكبد أو العضلات. يجب مراقبة وظائف الكبد بانتظام.
أوميبرازول - Omeprazole,أوميبرازول,علاج الحموضة وقرحة المعدة,20-40 mg يوميًا قبل الوجبات,لا يُستخدم مع أدوية أخرى تقلل من حمض المعدة مثل اله2-أنتيهستامين.
سيتالوبرام - Citalopram,سيتالوبرام,مضاد للاكتئاب والقلق,10-40 mg يوميًا,قد يسبب صعوبة في النوم أو قلق. يجب الحذر في حالات أمراض القلب.
فوروسيميد - Furosemide,فوروسيميد,مدر للبول في حالات احتباس السوائل وفشل القلب,20-80 mg يوميًا حسب الحاجة,قد يسبب نقص البوتاسيوم أو مشاكل في الكلى. يجب مراقبة مستويات الكهارل.
ميترونيدازول - Metronidazole,ميترونيدازول,مضاد للبكتيريا والطفيليات,250-500 mg كل 8 ساعات,قد يسبب تفاعلات مع الكحول. يسبب الإحساس بالغثيان أو الدوخة.
كلوبيدوجريل - Clopidogrel,كلوبيدوجريل,مضاد للتجلط يستخدم بعد جراحة الشرايين أو الجلطات,75 mg يوميًا,قد يسبب نزيفًا غير طبيعي. يجب مراقبة النزيف بشكل مستمر.
داباجليفلوزين - Dapagliflozin,داباجليفلوزين,علاج السكري النوع 2,5-10 mg يوميًا,قد يسبب انخفاض مستوى السكر في الدم. يجب مراقبة مستوى السكر بشكل مستمر.
سيبروفلوكساسين - Ciprofloxacin,سيبروفلوكساسين,مضاد حيوي واسع الطيف,250-750 mg كل 12 ساعة,قد يسبب مشاكل في الأوتار- خاصة لدى كبار السن.
لوراتادين - Loratadine,لوراتادين,مضاد للهستامين لعلاج الحساسية,10 mg يوميًا,يمكن أن يسبب صداعًا أو جفافًا في الفم.
ألويزا - Aloe Vera,جل الألوة فيرا,يستخدم للبشرة وعلاج الحروق والتهيج الجلدي,استخدام موضعي حسب الحاجة,يجب تجنب استخدامه إذا كان لديك حساسية.
هيدروكسيزايبام - Hydroxyzine,هيدروكسيزايبام,مهدئ للقلق والمشاكل العصبية,25-100 mg يوميًا حسب الحاجة,قد يسبب نعاسًا أو دوارًا.
فلوريد الصوديوم - Sodium Fluoride,فلوريد الصوديوم,علاج لتقوية الأسنان ومنع تسوسها,1-2 قرص يوميًا حسب الحاجة,يجب استخدامه بحذر في الأطفال لتجنب التسمم بالفلورايد.
ليموكسيدين - Lemoxidine,ليموكسيدين,مضاد للبكتيريا يستخدم في التهابات الجهاز التنفسي,250-500 mg كل 8 ساعات,يمكن أن يسبب حساسية في بعض الحالات.
كلورال هيدرات - Chloral Hydrate,كلورال هيدرات,مهدئ ومنوم يستخدم في المستشفيات,500-1000 mg حسب الحاجة,قد يسبب نعاسًا شديدًا أو آثارًا جانبية على الجهاز العصبي.
جليمابيريد - Glimepiride,جليمابيريد,علاج السكري النوع 2,1-4 mg يوميًا,يمكن أن يسبب انخفاض مستوى السكر في الدم بشكل مفرط.
لاكتولوز - Lactulose,لاكتولوز,ملين يستخدم لعلاج الإمساك,15-45 ml يوميًا حسب الحاجة,قد يسبب غازات أو انتفاخات.
بيسيدوكلين - Pseudocolin,بيسيدوكلين,مضاد للألم المزمن,50-100 mg كل 6-8 ساعات,قد يسبب دوارًا أو غثيانًا.
ميدازولام - Midazolam,ميدازولام,مهدئ ومسكن يستخدم في الجراحة أو الإجراءات الطبية,0.5-2 mg حسب الحاجة,قد يسبب نعاسًا شديدًا أو انخفاض ضغط الدم.
ديازيبام - Diazepam,ديازيبام,مضاد للقلق والأرق,5-10 mg يوميًا,قد يسبب دوارًا أو نعاسًا.
تيربينافين - Terbinafine,تيربينافين,مضاد للفطريات لعلاج الالتهابات الجلدية,250 mg يوميًا,قد يسبب تفاعلات جلدية أو مشاكل في الكبد.
فوسفات الأمبيسيلين - Ampicillin Phosphate,فوسفات الأمبيسيلين,مضاد حيوي واسع الطيف,250-500 mg كل 6 ساعات,قد يسبب حساسية أو طفح جلدي.
ريفامبين - Rifampin,ريفامبين,مضاد حيوي يستخدم لعلاج السل,10 mg يوميًا,قد يسبب تغيرات في لون البول أو البراز.
فينيتوين - Phenytoin,فينيتوين,مضاد للصرع,100-300 mg يوميًا,قد يسبب نعاسًا أو دوارًا. يجب مراقبة مستوى الدواء في الدم.
تتراسيكلين - Tetracycline,تتراسيكلين,مضاد حيوي واسع الطيف,250-500 mg كل 6-12 ساعة,يجب تجنب استخدامه مع الحليب أو منتجاته.
ليفوثيروكسين - Levothyroxine,ليفوثيروكسين,علاج لقصور الغدة الدرقية,25-200 mcg يوميًا,قد يسبب خفقان القلب أو فقدان الوزن.
أميودارون - Amiodarone,أميودارون,علاج اضطرابات نظم القلب,100-400 mg يوميًا حسب الحاجة,قد يسبب مشاكل في الرؤية أو الرئة. يحتاج إلى مراقبة دائمة.
ألبرازولام - Alprazolam,ألبرازولام,مضاد للقلق والأرق,0.25-0.5 mg 3 مرات يوميًا,قد يسبب دوارًا أو نعاسًا.
أموكسيسيلين / كلافولانيك - Amoxicillin/Clavulanic Acid,أموكسيسيلين / كلافولانيك,مضاد حيوي لعلاج العدوى البكتيرية,500 mg كل 8 ساعات,قد يسبب اضطرابًا في المعدة أو حساسية.
بيروكسيد الهيدروجين - Hydrogen Peroxide,بيروكسيد الهيدروجين,مستخدم في تطهير الجروح,استخدام موضعي فقط,يجب تجنب ملامسة العين أو الأغشية المخاطية.
كلوريد الصوديوم - Sodium Chloride,كلوريد الصوديوم,مذيب لمعالجة الجفاف والتوازن الكهارلي,1-2 لتر حسب الحاجة,يجب تجنب الجرعات الزائدة- خاصة في المرضى الذين يعانون من مشاكل في القلب أو الكلى.
تيمازيبام - Temazepam,تيمازيبام,مهدئ ومنوم لعلاج الأرق,10-20 mg قبل النوم,قد يسبب دوارًا أو نعاسًا. يجب تجنب القيادة بعد تناوله.
أزيثروميسين - Azithromycin,أزيثروميسين,مضاد حيوي لعلاج العدوى البكتيرية,500 mg في اليوم الأول- ثم 250 mg يوميًا لمدة 4 أيام,قد يسبب اضطرابًا في المعدة أو الطفح الجلدي.
سيمفاستاتين - Simvastatin,سيمفاستاتين,خافض للدهون في الدم,10-40 mg يوميًا مساءً,قد يسبب مشاكل في العضلات أو الكبد. يجب مراقبة مستويات الكوليسترول.
فيتامين د - Vitamin D,فيتامين د,مكمل غذائي لتعزيز صحة العظام والمناعة,1000-2000 IU يوميًا,يجب تجنب الجرعات الزائدة التي قد تؤدي إلى التسمم بالفيتامين د.
ميدروكسي بروجيستيرون - Medroxyprogesterone,ميدروكسي بروجيستيرون,هرمون موجه لتنظيم الدورة الشهرية,5-10 mg يوميًا لمدة 5 أيام من الدورة الشهرية,قد يسبب زيادة في الوزن أو تقلبات مزاجية.
ديكلوفيناك - Diclofenac,ديكلوفيناك,مسكن للألم ومضاد للالتهابات,25-50 mg مرتين يوميًا,قد يسبب مشاكل في المعدة أو قرحة. يجب تجنب استخدامه لفترات طويلة.
إيزوميبرازول - Esomeprazole,إيزوميبرازول,مضاد للحموضة وقرحة المعدة,20-40 mg يوميًا,قد يسبب تأثيرات جانبية على الجهاز الهضمي مثل الإسهال.
الديجوكسيين - Digoxin,الديجوكسيين,علاج فشل القلب واضطرابات ضربات القلب,0.25-0.5 mg يوميًا,قد يسبب تفاعلًا مع الأدوية الأخرى أو تأثيرات على مستوى البوتاسيوم في الدم.
مستحضرات الكورتيزون - Corticosteroids,الكورتيزون,علاج الالتهابات والحساسية,تختلف الجرعة حسب الحالة,يجب تجنب الاستخدام الطويل لتجنب الآثار الجانبية مثل هشاشة العظام.
سيرترالين - Sertraline,سيرترالين,مضاد للاكتئاب والقلق,50-100 mg يوميًا,قد يسبب مشاكل في النوم أو فقدان الشهية.
بروزاك - Prozac,فلوكستين,مضاد للاكتئاب,20-40 mg يوميًا,قد يسبب زيادة في القلق أو الأرق في بداية العلاج.
ليثيوم - Lithium,ليثيوم,علاج للاضطراب الثنائي القطب,300 mg 3 مرات يوميًا,يجب مراقبة مستويات الليثيوم في الدم لتجنب التسمم.
بوتيل سكوبولامين - Butylscopolamine,بوتيل سكوبولامين,مضاد للتقلصات وعلاج آلام البطن,10-20 mg حسب الحاجة,قد يسبب جفاف الفم أو مشاكل في الرؤية.
أمبرازول - Ambrizol,أمبرازول,مضاد حيوي لعلاج الالتهابات البكتيرية,500 mg يوميًا لمدة 7 أيام,قد يسبب اضطرابًا في الجهاز الهضمي أو الطفح الجلدي.
إيتودولاك - Etodolac,إيتودولاك,مسكن للألم ومضاد للالتهابات,200-400 mg كل 8 ساعات,قد يسبب تهيجًا في المعدة. يجب تجنب الجرعات العالية.
كلاريثروميسين - Clarithromycin,كلاريثروميسين,مضاد حيوي لعلاج العدوى البكتيرية,250-500 mg مرتين يوميًا,قد يسبب اضطرابًا في المعدة أو الدوخة.
ألفينترين - Alfentanil,ألفينترين,مسكن قوي للألم يستخدم في التخدير,حسب الحاجة في المستشفى تحت إشراف طبي,يجب أن يتم استخدامه بحذر في المرضى الذين يعانون من مشاكل تنفسية.
هيدروكسي يوريا - Hydroxyurea,هيدروكسي يوريا,علاج لبعض أنواع السرطان والأمراض الدموية,500-1000 mg يوميًا,قد يسبب تقرحات في الفم أو التسمم. يجب مراقبة تعداد الدم بانتظام.
تاموكسيفين - Tamoxifen,تاموكسيفين,مضاد للهرمونات يستخدم في علاج السرطان,20-40 mg يوميًا,قد يسبب آثارًا جانبية مثل الهبات الساخنة أو اضطرابات الدورة الشهرية.
كربامازيبين - Carbamazepine,كربامازيبين,مضاد للصرع,100-400 mg يوميًا حسب الحاجة,قد يسبب دوارًا أو نعاسًا. يجب مراقبة مستويات الدواء في الدم.
إندوميثاسين - Indomethacin,إندوميثاسين,مضاد للالتهابات ومسكن للألم,25-50 mg 2-3 مرات يوميًا,قد يسبب اضطرابًا في المعدة أو زيادة في ضغط الدم.
أروماثيرابي - Aromatherapy,زيوت عطرية,مهدئ للأعصاب وتخفيف القلق,يستخدم موضعيًا أو عبر الاستنشاق,قد يسبب تفاعلات جلدية عند بعض الأشخاص.
دايزيبام - Diazepam,دايزيبام,مضاد للقلق والأرق,5-10 mg يوميًا,قد يسبب دوارًا أو نعاسًا.
أدوية علاج التسمم - Antidotes,أدوية مضادة للتسمم,مضاد لسموم معينة مثل التسمم بالمعادن الثقيلة أو الأدوية,يتم تحديد الجرعة حسب نوع التسمم,يجب أن يتم تحت إشراف طبي.
بيبيرازين - Piperazine,بيبيرازين,مضاد للطفيليات,200 mg يوميًا لمدة 3 أيام,قد يسبب صداعًا أو دوارًا.
ألدكتون - Aldactone,سبيرونولاكتون,مدر للبول وعلاج ارتفاع ضغط الدم,25-100 mg يوميًا,قد يسبب زيادة في مستوى البوتاسيوم أو مشاكل في الكلى.
بيداكويلين - Bedaquiline,بيداكويلين,علاج للسل المقاوم للأدوية,400 mg يوميًا لمدة 2 أسابيع- ثم 200 mg يوميًا,يجب مراقبة وظائف الكبد والكلى.
إنفلونزا - Influenza,لقاح الإنفلونزا,الوقاية من فيروس الإنفلونزا,جرعة واحدة سنويًا,قد يسبب تأثيرات جانبية خفيفة مثل الحمى أو الألم في مكان الحقن.
نياسين - Niacin,نياسين,مكمل غذائي لتحسين مستوى الكوليسترول في الدم,500 mg يوميًا,قد يسبب احمرارًا في الجلد أو زيادة في مستوى السكر في الدم.
بينسيلاين - Penicillin,بينسيلاين,مضاد حيوي واسع الطيف,500 mg كل 6 ساعات,قد يسبب ردود فعل تحسسية.
جينتامايسين - Gentamicin,جينتامايسين,مضاد حيوي يستخدم لعلاج التهابات خطيرة,80 mg يوميًا في الوريد,قد يسبب تفاعلًا مع الكلى أو الأذن.
دولوتغرافير - Dolutegravir,دولوتغرافير,مضاد لفيروس نقص المناعة البشرية,50 mg يوميًا,قد يسبب آثارًا جانبية مثل الغثيان أو الأرق.
ميدزولام - Midazolam,ميدازولام,مهدئ ومضاد للقلق,2-10 mg حسب الحاجة,قد يسبب دوارًا أو انخفاضًا في التنفس.
أمبيسيلين - Ampicillin,أمبيسيلين,مضاد حيوي يستخدم ضد العدوى البكتيرية,500 mg كل 8 ساعات,قد يسبب حساسية أو اضطرابات في الجهاز الهضمي.
فوتوثيرابي - Phototherapy,علاج بالضوء,علاج لبعض الأمراض الجلدية مثل الصدفية أو الاكزيما,حسب الحاجة تحت إشراف طبي,قد يسبب تهيجًا في الجلد أو جفافًا في بعض الحالات.
كونجيستال - Congestal,كلورفينيرامين ماليات- سودوإيفيدرين هيدروكلوريد- باراسيتامول,علاج أعراض الزكام والبرد مثل الاحتقان والصداع,قرص واحد كل 4-6 ساعات,لا يُستخدم مع أدوية أخرى تحتوي على باراسيتامول أو سودوإيفيدرين.
سيتال - Cetal,باراسيتامول,مسكن للألم وخافض للحرارة,500 mg كل 4-6 ساعات,تجنب الجرعة الزائدة لتجنب تلف الكبد.
بانادول - Panadol,باراسيتامول,مسكن للألم وخافض للحرارة,500 mg كل 4-6 ساعات,تجنب الجرعة الزائدة لتجنب تلف الكبد.
ألفا كونجيست - Alpha Congest,سودوإيفيدرين هيدروكلوريد- كلورفينيرامين ماليات,علاج احتقان الأنف والتخفيف من أعراض البرد,قرص واحد كل 4-6 ساعات,يجب الحذر مع مرضى القلب وارتفاع ضغط الدم.
دوفاستون - Dufaston,ديدروجيستيرون,مساعد في علاج مشاكل الدورة الشهرية وتنظيمها,10 mg يوميًا في أيام معينة من الدورة الشهرية,يجب تجنب الاستخدام مع مشاكل الكبد أو النزيف غير الطبيعي.
أدينوزين - Adines,أدينوزين,علاج للألم في حالات الحروق أو الجروح,تطبيق موضعي حسب الحاجة,لا يستخدم على الجروح المفتوحة أو المتهيجة.
ميكوستين - Mucostin,أمبروكسول,مذيب للبلغم وعلاج السعال,10-20 mg مرتين يوميًا,قد يسبب الغثيان أو اضطرابًا في المعدة.
فلوتاك - Flutac,فينيل إيفيدرين,مضاد للاحتقان الأنفي,قرص واحد كل 4-6 ساعات,لا يُستخدم مع أدوية أخرى تحتوي على فينيل إيفيدرين.
ريليف - Relief,إيبوبروفين,مسكن للألم وخافض للحرارة,200 mg كل 4-6 ساعات,قد يسبب اضطرابًا في المعدة. يجب تجنب الجرعات العالية.
نيوروفين - Neurofen,إيبوبروفين,مسكن للألم وخافض للحرارة,200-400 mg كل 4-6 ساعات,يجب تجنب الاستخدام طويل الأمد بسبب التأثيرات على المعدة.
هيموكلار - Hemoclar,هيبارين الصوديوم,علاج التورم والكدمات والتجلطات الخفيفة,تطبيق موضعي مرتين يوميًا,لا يُستخدم على الجروح المفتوحة أو المتقيحة.
سيترال - Cital,سيتالوبرام,مضاد للاكتئاب والقلق,10-20 mg يوميًا,قد يسبب اضطرابات في النوم أو غثيان.
أدفل - Advil,إيبوبروفين,مسكن للألم وخافض للحرارة,200-400 mg كل 4-6 ساعات,قد يسبب تهيجًا للمعدة. لا يُستخدم لفترات طويلة.
أوريسيت - Oracet,أوريسيت,مضاد للفطريات الفموية,1-2 قرص يوميًا,قد يسبب اضطرابات هضمية في بعض الحالات.
كاتافلام - Cataflam,ديكلوفيناك بوتاسيوم,مضاد للالتهابات ومسكن للألم,25-50 mg مرتين يوميًا,قد يسبب تهيجًا في المعدة. يجب تجنب الاستخدام الطويل.
فيرناندول - Fernadol,باراسيتامول- فيتامين C,مكمل غذائي للوقاية من نزلات البرد والانفلونزا,قرص واحد يوميًا,قد يسبب طفح جلدي في بعض الحالات.
نيو كولد - New Cold,باراسيتامول- فينيليفرين,علاج نزلات البرد والتخفيف من الاحتقان,قرص واحد كل 4-6 ساعات,تجنب الجرعة الزائدة.
بانادول إكسترا - Panadol Extra,باراسيتامول- كافيين,مسكن للألم وخافض للحرارة,500 mg كل 4-6 ساعات,تجنب الجرعة الزائدة لتجنب مشاكل الكبد.
سيتافيل - Cetaphil,دهون مرطبة- فيتامينات,مرطب للبشرة الجافة,تطبيق موضعي حسب الحاجة,لا يُستخدم مع الجلد المتهيج أو المتشقق.
أوتريفين - Otrivin,زيلوميتازولين هيدروكلوريد,مضاد للاحتقان الأنفي,رش في الأنف 2-3 مرات يوميًا,لا يُستخدم لفترات طويلة لتجنب زيادة الاعتماد.
لاكوستين - Lacostin,كالسيوم- فيتامين D3,مكمل غذائي لدعم صحة العظام,1-2 قرص يوميًا,قد يسبب اضطرابات هضمية.
لوريكا - Lorica,لورازيبام,مضاد للقلق والتوتر,0.5-1 mg يوميًا,قد يسبب نعاسًا أو تأثيرات على التركيز.
كولد فلو - Cold-Flo,باراسيتامول- سودوإيفيدرين,مضاد للاحتقان وعلاج نزلات البرد,قرص واحد كل 4-6 ساعات,تجنب الاستخدام مع أدوية أخرى تحتوي على سودوإيفيدرين.
كالميد - Calmed,ماغنيسيوم- فيتامين B6,مكمل غذائي يساعد في تخفيف التوتر والقلق,1 قرص يوميًا,قد يسبب شعورًا بالخمول أو النوم.
ديكونجستال - Decongestal,سودوإيفيدرين- كلورفينيرامين,علاج احتقان الأنف والتخفيف من أعراض البرد,قرص واحد كل 4-6 ساعات,لا يُستخدم مع أدوية أخرى تحتوي على سودوإيفيدرين.
دكساميثازون - Dexamethasone,دكساميثازون,مضاد للالتهابات,0.5-9 mg يوميًا حسب الحاجة,قد يسبب زيادة الوزن أو مشاكل هرمونية.
سايتوفاج - Cytophage,ميتفورمين,مساعد في علاج السكري من النوع 2,500 mg يوميًا مع الوجبات,قد يسبب اضطرابات هضمية في البداية.
فيروجلوبين - Ferroglobin,حديد- فيتامين C,مكمل غذائي لزيادة مستوى الحديد في الدم,قرص واحد يوميًا,قد يسبب اضطرابات هضمية أو إمساك.
فولتارين - Voltaren,ديكلوفيناك,مضاد للالتهابات ومسكن للألم,25-50 mg يوميًا,قد يسبب تهيجًا للمعدة أو نزيفًا.
سيفينال - Sevenal,سودوإيفيدرين- كلورفينيرامين,مضاد للاحتقان وعلاج أعراض الزكام,قرص واحد كل 4-6 ساعات,قد يسبب تفاعلات مع الأدوية الأخرى التي تؤثر على القلب.
ميكرودين - Microdine,ميكروسبورين,مضاد للفطريات,أخذ كبسولة واحدة يوميًا,قد يسبب اضطرابات هضمية.
جرووفين - Groofen,إيبوبروفين,مسكن للألم وخافض للحرارة,200 mg كل 4-6 ساعات,قد يسبب اضطرابًا في المعدة. لا يُستخدم في حالات القرحة المعدية.
زيما - Zima,فينيل إيفيدرين- باراسيتامول,علاج نزلات البرد والاحتقان,قرص واحد كل 4 ساعات,تجنب الجرعة الزائدة.
أولفاز - Olfaz,مضاد للفطريات,علاج الفطريات الجلدية والقدم الرياضي,تطبيق موضعي مرة أو مرتين يوميًا,قد يسبب تهيجًا بسيطًا في البداية.
فيرماكس - Vermax,مبيد للديدان,علاج ديدان الأمعاء,قرص واحد يوميًا لمدة 3 أيام,قد يسبب غثيانًا أو صداعًا.
كالسيوم ستار - Calcium Star,كالسيوم,مكمل غذائي لدعم صحة العظام,1-2 قرص يوميًا,قد يسبب إمساكًا في بعض الحالات.
بيودال - Biodal,فيتامين D3,مكمل غذائي لزيادة مستوى فيتامين D في الجسم,1-2 قطرة يوميًا,يجب تجنب الجرعات الزائدة.
بروموفارم - Bromofarm,برومهيكسين,مذيب للبلغم وعلاج السعال,8 mg مرتين يوميًا,قد يسبب اضطرابات هضمية أو غثيان.
تراسيف - Terasiv,أمبروكسول,مذيب للبلغم وعلاج السعال,10-30 mg يوميًا,قد يسبب تفاعلات مع أدوية أخرى.
أوفيد - Ovid,فلودوكسيتين,مساعد في علاج السعال الجاف,10 mg يوميًا,قد يسبب جفاف الفم أو اضطرابات في النوم.
فيسال - Visal,باراسيتامول- كافيين,مضاد للصداع وآلام الجسم,500 mg كل 4-6 ساعات,تجنب الجرعة الزائدة.
ميكورال - Micoral,مضاد للفطريات,علاج التهابات الفم والفطريات,قرص واحد يوميًا,قد يسبب طفحًا جلديًا في بعض الحالات.
سيتافين - Cetaphen,مضاد للفيروسات,علاج نزلات البرد والإنفلونزا,قرص واحد يوميًا,قد يسبب اضطرابات في المعدة.
فيتامين سي - Vitamin C,حمض الأسكوربيك,مكمل غذائي لتحسين المناعة,500 mg يوميًا,قد يسبب اضطرابات في المعدة في بعض الحالات.
ميوكوسولفان - Mucosolvan,أمبروكسول,مذيب للبلغم,10 mg مرتين يوميًا,قد يسبب غثيانًا أو اضطرابات هضمية.
بروفين - Brofen,إيبوبروفين,مسكن للألم وخافض للحرارة,200-400 mg كل 4-6 ساعات,قد يسبب تهيجًا في المعدة.
ريمديسيفير - Remdesivir,ريمديسيفير,مضاد للفيروسات لعلاج COVID-19,تحت إشراف طبي,يجب استخدامه بحذر مع مرضى الكبد والكلى.
دواء شاي الأعشاب - Herbal Tea,شاي أعشاب,مساعد في علاج الهضم وتحسين النوم,1 كوب يوميًا,قد يسبب تفاعلات مع الأدوية الأخرى.
بانادول بلس - Panadol Plus,باراسيتامول- كافيين,مسكن للألم وخافض للحرارة,500 mg كل 4-6 ساعات,تجنب الجرعة الزائدة.
برايموس - Primus,مينثول,علاج الاحتقان الأنفي,رش في الأنف حسب الحاجة,قد يسبب تهيجًا في الأنف إذا استخدم بشكل مفرط.
جينيرا - Genera,ميترونيدازول,مضاد للبكتيريا والفطريات,500 mg يوميًا,قد يسبب اضطرابات في المعدة أو صداع.
سيفوفلور - Sevoflurane,سيفوفلورين,مخدر عام,تحت إشراف طبي,يجب مراقبة المرضى الذين لديهم مشاكل في التنفس أو القلب.
بليكا - Plica,باراسيتامول- كافيين,مساعد في تخفيف الآلام والصداع,500 mg كل 4-6 ساعات,تجنب الجرعة الزائدة.
نيوفاست - Newfast,بندازول,مضاد للفطريات,1-2 قرص يوميًا,قد يسبب اضطرابات في المعدة أو الدوخة.
ريفريش - Refresh,حمض الهيالورونيك,قطرات للعين لعلاج جفاف العين,1-2 نقطة في العين المصابة حسب الحاجة,قد يسبب تهيجًا في العين إذا تم استخدامه بشكل مفرط.
ليفي - Levi,ليفوسيتريزين,مضاد للحساسية,5 mg مرة يوميًا,قد يسبب النعاس في بعض الحالات.
أبوتريكس - Abutrix,ديكلوفيناك,مضاد للالتهابات ومسكن للألم,50 mg يوميًا,قد يسبب تهيجًا في المعدة.
بروسبيد - Prospid,سودوإيفيدرين,مضاد للاحتقان,1 قرص كل 4-6 ساعات,قد يسبب زيادة في ضغط الدم.
أوكسيكون - Oxycon,أوكسيدوكون,مساعد في علاج السعال الجاف,5 mg مرتين يوميًا,قد يسبب نعاسًا أو تأثيرًا على التركيز.
مينثوميد - Menthomid,مينثول,علاج الزكام والعطس,تطبيق موضعي حسب الحاجة,قد يسبب تهيجًا موضعيًا في الجلد.
تيكول - Ticol,تيكلوبيدين,مساعد في الوقاية من تجلط الدم,75 mg مرة يوميًا,يجب تجنب استخدامه مع أدوية أخرى مضادة للتجلط.
باراسيتامول بلس - Paracetamol Plus,باراسيتامول- كافيين,مسكن للألم وخافض للحرارة,500 mg كل 4-6 ساعات,تجنب الجرعة الزائدة لتجنب مشاكل الكبد.
جيبا - Giba,تريميثوبريم,مضاد للبكتيريا,200 mg يوميًا,قد يسبب اضطرابات في المعدة أو الغثيان.
سيتاماكس - Cetamax,سيتالوبرام,مضاد للاكتئاب والقلق,10-20 mg يوميًا,قد يسبب اضطرابات في النوم أو جفاف الفم.
بروفينك - Brofink,إيبوبروفين,مسكن للألم وخافض للحرارة,200-400 mg كل 4-6 ساعات,قد يسبب تهيجًا في المعدة. يجب تجنب الاستخدام طويل الأمد.
ألفا كونجيست - Alpha Congest,سودوإيفيدرين- كلورفينيرامين,علاج احتقان الأنف والتخفيف من أعراض البرد,قرص واحد كل 4-6 ساعات,يجب الحذر مع مرضى القلب وارتفاع ضغط الدم.
كيتوفين - Ketofen,ديكلوفيناك,مضاد للالتهابات ومسكن للألم,50 mg يوميًا,قد يسبب اضطرابًا في المعدة. يجب استخدامه بحذر مع مرضى القرحة المعدية.
أمبروفين - Amrofen,إيبوبروفين,مسكن للألم وخافض للحرارة,200-400 mg كل 4-6 ساعات,قد يسبب تهيجًا في المعدة أو الدوخة.
أداسيل - Adacil,سودوإيفيدرين,مضاد للاحتقان الأنفي,1 قرص كل 4-6 ساعات,قد يسبب زيادة في ضغط الدم.
ماكسين - Maxin,أمبروكسول,مذيب للبلغم وعلاج السعال,10-20 mg مرتين يوميًا,قد يسبب اضطرابات هضمية أو غثيان.
أوسيفلوكساسين - Ofloxacin,أوسيفلوكساسين,مضاد للبكتيريا,200 mg يوميًا,يجب تجنب الاستخدام مع بعض الأدوية الأخرى مثل مكملات الحديد.
ألبينتا - Alpenta,ألبيترول,موسع للشعب الهوائية,1-2 استنشاق يوميًا,قد يسبب تهيجًا في الحلق أو السعال.
ترايكرون - Trikron,فيتامين C,مكمل غذائي لتحسين المناعة,500 mg يوميًا,قد يسبب اضطرابات في المعدة في بعض الحالات.
أركوكسيا - Arcoxia,إيتودولاك,مضاد للالتهابات ومسكن للألم,60 mg يوميًا,قد يسبب تهيجًا في المعدة. يجب تجنب استخدامه لفترات طويلة.
فلوكسيتين - Fluoxetine,فلوكسيتين,مضاد للاكتئاب,20 mg يوميًا,قد يسبب اضطرابات في النوم أو جفاف الفم.
دولور - Dolor,ديكلوفيناك,مضاد للالتهابات ومسكن للألم,50 mg يوميًا,قد يسبب مشاكل في المعدة أو نزيفًا.
إيفاكو - Evaco,أمبروكسول,مذيب للبلغم وعلاج السعال,10-30 mg يوميًا,قد يسبب الغثيان أو اضطرابًا في المعدة.
ديسبرين - Disprin,أسبرين,مضاد للألم وخافض للحرارة,500 mg كل 4-6 ساعات,قد يسبب مشاكل في المعدة.
