الاسم,الماده الفعاله,دواعي الاستخدام,الجرعة,تحذيرات
فيريال - Viral,أوسيلتاميفير,مضاد للإنفلونزا,75 mg مرتين يوميًا لمدة 5 أيام,يجب استخدامه في بداية ظهور الأعراض.
كوفنتين - Coventin,جابابنتين,علاج الألم العصبي,300 mg يوميًا,قد يسبب دوارًا أو نعاسًا.
برونكوتين - Broncotin,أمبروكسول,مساعد في التخلص من البلغم,10-20 mg مرتين يوميًا,قد يسبب اضطرابات هضمية أو غثيان.
ميتابول - Metabol,ميتفورمين,مساعد في علاج السكري من النوع 2,500 mg يوميًا مع الوجبات,قد يسبب اضطرابات هضمية في البداية.
سيفامول - Cefamol,أموكسيسيلين,مضاد حيوي,500 mg يوميًا,يجب تجنب الاستخدام المفرط لتجنب مقاومة البكتيريا.
ريبافيرين - Ribavirin,ريبافيرين,مضاد للفيروسات,200 mg مرتين يوميًا,قد يسبب مشاكل في المعدة أو الغثيان.
ترادول - Tradol,ترامادول,مسكن للألم الشديد,50-100 mg كل 4-6 ساعات,يجب استخدامه بحذر مع المرضى الذين يعانون من مشاكل في التنفس أو القلب.
سيتريزين - Cetirizine,سيتريزين,مضاد للحساسية,10 mg يوميًا,قد يسبب النعاس أو جفاف الفم.
ديبوماكس - Depomax,ميثيل بريدنيزولون,مضاد للالتهابات,4-24 mg يوميًا حسب الحالة,يجب مراقبة مستويات السكر في الدم أثناء العلاج.
نيو هيلث - New Health,مكمل غذائي,مساعد في دعم المناعة والصحة العامة,1 قرص يوميًا,قد يسبب اضطرابات هضمية في بعض الحالات.
جوايفينيزين - Guaifenesin,جوايفينيزين,مذيب للبلغم,200 mg مرتين يوميًا,قد يسبب اضطرابات في المعدة أو غثيان.
إستيل سيستين - Acetylcysteine,أستيل سيستين,مساعد في علاج البلغم,600 mg يوميًا,قد يسبب اضطرابات هضمية أو غثيان.
ريفيرين - Reverin,ريفيرين,مضاد للفيروسات,200 mg يوميًا,يجب تجنب التفاعلات مع أدوية أخرى.
سوليو - Solio,فيتامين D3,مكمل غذائي لدعم صحة العظام,1-2 كبسولة يوميًا,يجب تجنب الجرعات الزائدة.
جلوكوزامين - Glucosamine,جلوكوزامين,مكمل غذائي لتحسين صحة المفاصل,500 mg مرتين يوميًا,قد يسبب اضطرابات هضمية في بعض الحالات.
كيو في كريم - QV Cream,زيوت طبيعية- فيتامين E,مرطب للبشرة الجافة,تطبيق موضعي حسب الحاجة,يجب تجنب استخدامه مع البشرة المتحسسة.
بيبانثين - Bepanthen,ديكسابنثينول,مساعد في علاج الجروح والحروق الطفيفة,تطبيق موضعي مرتين يوميًا,قد يسبب تهيجًا في البشرة الحساسة.
كريم اكوافور - Aquaphor Healing Ointment,بارافين- شمع العسل,مرطب للبشرة الجافة والملتهبة,تطبيق طبقة رقيقة مرتين يوميًا,يجب تجنب التعرض للشمس بعد الاستخدام مباشرة.
إيزابيلين - Eazolene,ألوفيرا- فيتامين E,علاج للبشرة المتضررة من الشمس,تطبيق موضعي مرتين يوميًا,قد يسبب تحسسًا للبشرة الحساسة.
زيت جونسون للأطفال - Johnson's Baby Oil,زيت معدني- عطر,مرطب للأطفال والبشرة الحساسة,تطبيق موضعي حسب الحاجة,قد يسبب تهيجًا في البشرة الحساسة.
مستحضرات فيشي - Vichy,ماء حراري- حمض الهيالورونيك,مساعد في ترطيب البشرة وحمايتها من العوامل البيئية,تطبيق موضعي يوميًا,قد يسبب تحسسًا في البشرة الحساسة.
لاكتو كير - Lacto Care,حمض اللاكتيك,مقشر للبشرة ويعمل على تفتيحها,تطبيق موضعي ليلاً,قد يسبب جفافًا أو احمرارًا في البشرة في البداية.
نيوتروجينا - Neutrogena,نيتروجين- أحماض الفواكه,مقشر للبشرة الدهنية والمختلطة,تطبيق موضعي مرتين يوميًا,قد يسبب تهيجًا في الجلد الجاف.
بانثينول - Panthenol,ديكسابنثينول,مرطب للبشرة الجافة ويعزز التئام الجروح,تطبيق موضعي مرتين يوميًا,قد يسبب حساسية جلدية في بعض الحالات.
بيوديرما - Bioderma,خلاصة نباتية- ماء حراري,مساعد في تجديد البشرة وحمايتها من الملوثات,تطبيق موضعي يوميًا,قد يسبب تهيجًا في البشرة الحساسة.
أفين - Avene,ماء حراري- أحماض أمينية,مساعد في ترطيب البشرة الجافة والتالفة,تطبيق موضعي حسب الحاجة,يجب تجنب استخدامه مع البشرة المتحسسة جدًا.
ديرما سكين - Derma Skin,زيوت طبيعية- فيتامين E,مساعد في علاج جفاف البشرة والتشققات,تطبيق موضعي حسب الحاجة,قد يسبب بعض التحسس في حالات البشرة الحساسة.
كير باي - Care By,شمع العسل- فيتامين A,علاج للبشرة الجافة والمتهيجة,تطبيق موضعي مرتين يوميًا,قد يسبب تهيجًا إذا كانت البشرة حساسة.
هيرب كريم - Herb Cream,مستخلصات نباتية- زيت زيتون,علاج للبشرة الجافة والشقوق,تطبيق موضعي يوميًا,قد يسبب بعض الحساسية إذا كانت البشرة حساسة.
بانثينول كريم - Bepanthen Cream,ديكسابنثينول,مساعد في التئام الجروح وعلاج التهيج,تطبيق موضعي مرتين يوميًا,يجب تجنب استخدامه في حالة وجود حساسية للمنتج.
سودو كريم - Sudocrem,زنك- بنزيل بنزوات,مساعد في علاج الحروق الطفيفة والتهاب الجلد,تطبيق موضعي على الجلد المصاب,قد يسبب تهيجًا للبشرة الحساسة.
أوتوماكس كريم - Otomax Cream,مضاد حيوي- كورتيكوستيرويد,علاج التهابات الجلد,تطبيق موضعي حسب الحاجة,يجب تجنب استخدامه مع الجروح المفتوحة.
تريميديرم - Trimiderm,تريامسينولون,مضاد للفطريات والتهابات الجلد,تطبيق موضعي مرتين يوميًا,قد يسبب بعض الجفاف أو التهيج للبشرة الحساسة.
أكتينون - Actinon,حمض الهيالورونيك,مرطب للبشرة الجافة والمتشققة,تطبيق موضعي يوميًا,قد يسبب احمرارًا للبشرة في البداية.
بيو ديرما - Bioderma,سيراميد- أحماض دهنية,مساعد في حماية وترطيب البشرة الجافة,تطبيق موضعي يوميًا,قد يسبب تهيجًا في البشرة الحساسة.
فيفا بيوتي - Viva Beauty,فيتامين C- زيت ليمون,مساعد في تفتيح البشرة وتقليل التصبغات,تطبيق موضعي يوميًا,قد يسبب بعض التهيج للبشرة الحساسة.
سيكابيو - Cicabio,زنك- حمض الهيالورونيك,مساعد في التئام الجروح وحماية البشرة,تطبيق موضعي مرتين يوميًا,قد يسبب تهيجًا للبشرة إذا تم استخدامه على الجروح المفتوحة.
جلاسيرين - Glycerin,جلسرين,مرطب للبشرة الجافة,تطبيق موضعي يوميًا,قد يسبب تهيجًا في بعض حالات البشرة الحساسة.
جل الألوفيرا - Aloe Vera Gel,ألوفيرا,علاج للبشرة المتضررة من الشمس,تطبيق موضعي حسب الحاجة,قد يسبب تهيجًا في بعض الأحيان إذا كانت البشرة حساسة.
سيتافيل للوجه - Cetaphil Face,فيتامين E- خلاصة نباتية,منظف ومرطب للبشرة,تطبيق موضعي يوميًا,لا يستخدم مع البشرة التي تحتوي على جروح مفتوحة.
هيمالايا كريم - Himalaya Cream,ألوفيرا- عسل,مرطب للبشرة ومساعد في علاج الجفاف,تطبيق موضعي حسب الحاجة,قد يسبب تهيجًا في البشرة الحساسة.
لوسيون سبا - Spa Lotion,زيت اللوز- زيت الزيتون,مرطب للبشرة الجافة والمتشققة,تطبيق موضعي يوميًا,قد يسبب بعض التحسس في البشرة الحساسة.
فولتا كريم - Volta Cream,زيوت طبيعية- أحماض أمينية,علاج لتجاعيد البشرة والجفاف,تطبيق موضعي يوميًا,قد يسبب تهيجًا بسيطًا للبشرة في البداية.
ألبا - Alba,زيت جوز الهند- ألوفيرا,مرطب ومساعد في علاج التهابات البشرة,تطبيق موضعي حسب الحاجة,قد يسبب تهيجًا في البشرة الحساسة.
هايدرا بوست - Hydra Boost,حمض الهيالورونيك- فيتامين E,مرطب للبشرة الجافة ويحسن مرونتها,تطبيق موضعي يوميًا,قد يسبب تهيجًا في بعض الحالات.
نيوتروجينا - Neutrogena Hydro Boost,حمض الهيالورونيك,مرطب للبشرة الدهنية والجافة,تطبيق موضعي يوميًا,قد يسبب بعض التهيج إذا كانت البشرة حساسة.
مونيكا - Monica,ماء الورد- فيتامين E,مرطب للبشرة ويقلل من التجاعيد,تطبيق موضعي يوميًا,قد يسبب تهيجًا في بعض أنواع البشرة الحساسة.
هيالوجين - Hyalojin,حمض الهيالورونيك,مساعد في ترطيب البشرة وإعادة تجديد خلاياها,تطبيق موضعي يوميًا,قد يسبب احمرارًا طفيفًا في بعض الأحيان.
جلو فيكس - Glow Fix,فيتامين C- حمض الهيالورونيك,مساعد في تفتيح البشرة وتقليل التصبغات,تطبيق موضعي يوميًا,قد يسبب بعض التهيج عند أول استخدام.
هيمالايا كريم - Himalaya Herbals,مستخلصات عشبية- فيتامين E,مرطب للبشرة وحامي ضد الملوثات,تطبيق موضعي يوميًا,قد يسبب حساسية للبشرة الحساسة.
كالوسير - Calocer,زيت اللوز الحلو- فيتامين E,مساعد في علاج جفاف البشرة وتقشير الجلد الميت,تطبيق موضعي يوميًا,قد يسبب تهيجًا للبشرة إذا كانت حساسة.
ترايتينوئين كريم - Tretinoin Cream,تريتينوين,مساعد في علاج حب الشباب والتجاعيد,تطبيق موضعي في المساء,قد يسبب جفافًا أو احمرارًا في البشرة في البداية.
فيرسيا كريم - Versia Cream,مستخلصات طبيعية- فيتامين E,علاج للبشرة الجافة والمتشققة,تطبيق موضعي مرتين يوميًا,قد يسبب تهيجًا في بعض الحالات.
سبوت كريم - Spot Cream,مكونات مبيضة- فيتامين C,مساعد في تفتيح البقع الداكنة على البشرة,تطبيق موضعي مرتين يوميًا,قد يسبب تهيجًا أو احمرارًا في البشرة الحساسة.
نيوتروجينا شامبو - Neutrogena Shampoo,سلفيد السيلينيوم,شامبو لعلاج قشرة الشعر وحكة فروة الرأس,استخدام مرتين أسبوعيًا,قد يسبب جفافًا لفروة الرأس إذا تم استخدامه بشكل مفرط.
ريجين - Regain,مينوكسيديل,علاج لتساقط الشعر وتعزيز نموه,تطبيق موضعي مرتين يوميًا,قد يسبب تهيجًا في فروة الرأس في بعض الحالات.
دوف شامبو - Dove Shampoo,زيت الأرجان,شامبو مرطب يعزز صحة الشعر الجاف والمتقصف,استخدام يومي,قد يسبب تهيجًا لفروة الرأس الحساسة.
فيفيدول - Vividol,بروفيتامين B5,شامبو يساعد في تقوية الشعر وحمايته من التكسر,استخدام مرتين أسبوعيًا,قد يسبب جفافًا في الشعر إذا تم استخدامه بكثرة.
كيراستاز - Kerastase,زيوت طبيعية,شامبو يعيد لمعان الشعر ويحسن مرونته,استخدام يوميًا أو حسب الحاجة,يجب تجنب استخدامه مع الشعر التالف بشكل كبير.
هيدرا برو - Hydra Pro,حمض الهيالورونيك,شامبو مرطب يعزز نمو الشعر ويعالج الجفاف,استخدام يوميًا,قد يسبب تهيجًا إذا كان الشعر حساسًا.
أويدرم - Oiderm,زيت الأرغان,شامبو لتغذية الشعر الجاف والضعيف,استخدام مرتين أسبوعيًا,قد يسبب تهيجًا لفروة الرأس الحساسة.
فيتشي - Vichy Dercos,سلينيوم سلفايد,شامبو مضاد للقشرة والشعر الدهني,استخدام يوميًا,قد يسبب تهيجًا في بعض الحالات.
شامبو نيتروجينا - Neutrogena T/Gel,قطران الفحم,علاج للقشرة والفروة المتهيجة,استخدام مرة واحدة يوميًا,قد يسبب جفاف فروة الرأس إذا تم استخدامه بشكل مفرط.
شامبو بانتين - Pantene Shampoo,برو فيتامين B5,شامبو لتقوية الشعر وحمايته من التساقط,استخدام يوميًا,قد يسبب جفافًا للشعر في بعض الحالات.
ديرما جلوب - Derma Glow,ألوفيرا,علاج لترطيب وتغذية فروة الرأس,استخدام مرتين أسبوعيًا,قد يسبب تهيجًا في فروة الرأس الحساسة.
سوبربات - Superbat,فيتامين E,شامبو مرطب يعزز نمو الشعر ويمنع التقصف,استخدام يوميًا,قد يسبب تهيجًا لفروة الرأس في بعض الحالات.
أمبرلوس - Ambrolos,زيت جوز الهند,شامبو مغذي يعالج الشعر الجاف والمتقصف,استخدام مرتين أسبوعيًا,قد يسبب حساسية في بعض الحالات.
ريتوكس - Retox,زيت الزيتون,شامبو يعزز من صحة الشعر ويمنع تقصفه,استخدام يوميًا,قد يسبب تهيجًا في فروة الرأس الحساسة.
شامبو أكوا - Aqua Shampoo,حمض الهيالورونيك,شامبو مرطب للبشرة والشعر الجاف,استخدام يوميًا,قد يسبب تهيجًا في فروة الرأس الجافة.
بيوديرما - Bioderma,زيت الأركان,شامبو مغذي يعزز الشعر الجاف والمتقصف,استخدام يوميًا,قد يسبب حساسية في بعض الحالات.
شامبو كاتيل - Katel Shampoo,زيت الجوجوبا,شامبو مرطب ومعزز للشعر,استخدام يوميًا,قد يسبب تهيجًا إذا تم استخدامه بشكل مفرط.
شامبو سيسلي - Sisley Shampoo,مستخلصات نباتية,شامبو مغذي يساهم في علاج الشعر التالف,استخدام يوميًا,قد يسبب تهيجًا في الشعر الحساسة.
نيللو - Nello,كيراتين,شامبو يعيد بناء الشعر التالف,استخدام مرتين أسبوعيًا,قد يسبب جفاف الشعر إذا تم الإفراط في استخدامه.
توين - Twin Shampoo,ماء الزهور,شامبو مرطب يحسن جودة الشعر ويمنع جفافه,استخدام يوميًا,قد يسبب تهيجًا في فروة الرأس الحساسة.
جونيور بيو - Junior Bio,زيت اللوز,شامبو للأطفال يحافظ على صحة شعر الطفل,استخدام يوميًا,قد يسبب تهيجًا إذا تم استخدامه بشكل مفرط.
تريتو - Trito,مستخلصات عشبية,شامبو يساعد في تنشيط نمو الشعر وتقويته,استخدام يوميًا,قد يسبب بعض التهيج لفروة الرأس الحساسة.
شامبو شاري - Shari Shampoo,زيت السمسم,شامبو مغذي يعالج الشعر الجاف والتالف,استخدام يوميًا,قد يسبب حساسية في بعض الحالات.
تريسمي - TRESemmé,برو فيتامين B5,شامبو مغذي يعيد قوة الشعر وحيويته,استخدام يوميًا,قد يسبب جفافًا للشعر في بعض الحالات.
شامبو ديرماكول - Dermacol Shampoo,حمض الهيالورونيك,شامبو مرطب يعزز نمو الشعر ويعالج التقصف,استخدام يوميًا,قد يسبب تهيجًا في فروة الرأس الحساسة.
شامبو كينيا - Kenya Shampoo,زيت جوز الهند,شامبو مرطب يساعد في معالجة الشعر الجاف,استخدام يوميًا,قد يسبب تهيجًا في فروة الرأس الحساسة.
شامبو هيربال - Herbal Shampoo,مستخلصات طبيعية,شامبو يعزز صحة الشعر ويعالج التساقط,استخدام يوميًا,قد يسبب جفافًا إذا تم الإفراط في استخدامه.
شامبو لوريال - L'Oreal Shampoo,مستخلصات نباتية,شامبو يعزز الشعر ويحسن صحته العامة,استخدام يوميًا,قد يسبب حساسية لبعض الأشخاص.
شامبو فيتشي - Vichy Dercos Shampoo,سيلينيوم سلفايد,شامبو مضاد لقشرة الشعر وفروة الرأس المتهيجة,استخدام يوميًا,قد يسبب تهيجًا لفروة الرأس الجافة.
شامبو بيوتي هير - Beauty Hair Shampoo,زيت الأرجان,شامبو مرطب يعزز نمو الشعر ويعالج التقصف,استخدام يوميًا,قد يسبب تهيجًا في الشعر الجاف.
ديرماكوب - Dermacob,زيت اللوز,شامبو مرطب يعيد الترطيب لشعر الجاف,استخدام يوميًا,قد يسبب حساسية إذا تم استخدامه مع البشرة الحساسة.
شامبو ألفا - Alpha Shampoo,مستخلصات نباتية,شامبو ينشط فروة الرأس ويعزز نمو الشعر,استخدام يوميًا,قد يسبب جفافًا إذا تم الإفراط في استخدامه.
فيتين - Vitin Shampoo,فيتامين E,شامبو مغذي يعزز صحة الشعر,استخدام يوميًا,قد يسبب تهيجًا في بعض الحالات.
شامبو جونيور - Junior Shampoo,ماء الورد,شامبو مخصص للأطفال للحفاظ على صحة شعرهم,استخدام يوميًا,قد يسبب تهيجًا في بعض الحالات.
شامبو تريميل - Trimel Shampoo,زيت الأرجان,شامبو يعيد ترطيب الشعر ويعزز نموه,استخدام يوميًا,قد يسبب تهيجًا في فروة الرأس الحساسة.
شامبو إيفا - Eva Shampoo,فيتامين B5,شامبو مرطب يعزز نمو الشعر,استخدام يوميًا,قد يسبب جفافًا للشعر في بعض الحالات.
ألفا هير - Alpha Hair,زيت جوز الهند,شامبو مغذي يحسن صحة الشعر,استخدام يوميًا,قد يسبب تهيجًا في فروة الرأس الحساسة.
شامبو إيفو - Ivo Shampoo,زيت الأركان,شامبو مرطب يحسن حالة الشعر الجاف,استخدام يوميًا,قد يسبب حساسية للبشرة في بعض الحالات.
هيربال فاين - Herbal Fine,مستخلصات نباتية,شامبو يساعد في تقوية الشعر ويحسن صحته,استخدام يوميًا,قد يسبب تهيجًا في فروة الرأس الحساسة.
شامبو هير بيوتي - Hair Beauty Shampoo,زيت الأرغان,شامبو يعزز لمعان الشعر ويقلل من تقصفه,استخدام يوميًا,قد يسبب تهيجًا في فروة الرأس الحساسة.
شامبو ألوفيرا - Aloe Vera Shampoo,ألوفيرا,شامبو مغذي يساعد في معالجة فروة الرأس الجافة,استخدام يوميًا,قد يسبب تهيجًا إذا كان الشعر حساسًا.
أوميجا 3 - Omega 3,حمض الأوميغا-3 الدهني,مكمل غذائي لدعم صحة القلب والدماغ,1-2 كبسولة يوميًا,يجب استشارة الطبيب إذا كنت تتناول أدوية مضادة لتخثر الدم.
فيتامين د3 - Vitamin D3,فيتامين D3,مكمل غذائي لدعم صحة العظام والمناعة,1000-2000 وحدة دولية يوميًا,يمكن أن يسبب جرعات عالية سمية في الجسم.
كالسيوم - Calcium,كربونات الكالسيوم,مكمل غذائي لدعم صحة العظام والأسنان,1-2 قرص يوميًا,يجب عدم تناوله مع مكملات تحتوي على الحديد في نفس الوقت.
فيتامين C - Vitamin C,حمض الأسكوربيك,مكمل غذائي لتعزيز المناعة ومكافحة الجذور الحرة,500-1000 ملغ يوميًا,قد يسبب اضطرابات هضمية في الجرعات العالية.
ماغنيسيوم - Magnesium,مغنيسيوم,مكمل غذائي لدعم وظائف العضلات والأعصاب,200-400 ملغ يوميًا,قد يسبب إسهالًا في الجرعات العالية.
زنك - Zinc,زنك,مكمل غذائي لدعم المناعة وعلاج نقص الزنك,10-30 ملغ يوميًا,يمكن أن يسبب الغثيان عند تناوله على معدة فارغة.
فيتامين ب12 - Vitamin B12,سيانوكوبالامين,مكمل غذائي لتحسين صحة الأعصاب والدم,250-500 ميكروغرام يوميًا,قد يسبب تفاعلات مع أدوية السكري.
فيتامين E - Vitamin E,توكوفيرول,مكمل غذائي مضاد للأكسدة يدعم صحة الجلد والشعر,100-400 وحدة دولية يوميًا,يمكن أن يزيد من خطر النزيف إذا تم تناوله مع أدوية مضادة للتخثر.
فيتامين A - Vitamin A,ريتينول,مكمل غذائي لدعم صحة العين والجهاز المناعي,2500-5000 وحدة دولية يوميًا,تناول جرعات عالية قد يؤدي إلى التسمم بفيتامين A.
حديد - Iron,حديد,مكمل غذائي لعلاج نقص الحديد وفقر الدم,18 ملغ يوميًا,يجب تناوله مع فيتامين C لتحسين الامتصاص.
أوميجا 6 - Omega 6,حمض اللينوليك,مكمل غذائي لدعم صحة الجلد والشعر,1-2 كبسولة يوميًا,قد يؤدي الإفراط في تناول أوميغا 6 إلى التهاب.
فيتامين K2 - Vitamin K2,ميناكينون,مكمل غذائي يدعم صحة العظام والقلب,90-120 ميكروغرام يوميًا,قد يتفاعل مع أدوية مضادة للتخثر.
فيتامين ب1 - Vitamin B1,ثيامين,مكمل غذائي لدعم صحة الأعصاب والطاقة,50-100 ملغ يوميًا,قد يسبب التحسس في بعض الأشخاص.
فيتامين ب2 - Vitamin B2,ريبوفلافين,مكمل غذائي لدعم صحة الجلد والعينين,1.1-1.6 ملغ يوميًا,قد يسبب لونًا أصفر في البول عند تناوله بكميات كبيرة.
حمض الفوليك - Folic Acid,حمض الفوليك,مكمل غذائي لدعم صحة الحمل والنمو الخلوي,400-800 ميكروغرام يوميًا,يجب استشارة الطبيب قبل تناوله إذا كنت حاملاً أو مرضعة.
بيوتين - Biotin,بيوتين,مكمل غذائي لتعزيز صحة الشعر والجلد والأظافر,30-100 ميكروغرام يوميًا,قد يسبب تفاعلات مع بعض أدوية الغدة الدرقية.
أحماض أمينية - Amino Acids,أحماض أمينية أساسية,مكمل غذائي لتحسين بناء العضلات وزيادة الطاقة,1-2 كبسولة يوميًا,قد يسبب زيادة في الوزن عند الإفراط في تناولها.
كرياتين - Creatine,كرياتين,مكمل غذائي لتحسين الأداء الرياضي وزيادة القوة العضلية,3-5 غرامات يوميًا,يمكن أن يؤدي إلى احتباس الماء في الجسم.
كولاجين - Collagen,كولاجين,مكمل غذائي لدعم صحة الجلد والمفاصل,2.5-10 غرامات يوميًا,قد يسبب بعض الطفح الجلدي عند الأشخاص الحساسين.
زيت كبد الحوت - Cod Liver Oil,حمض الأوميغا-3 وفيتامين A وD,مكمل غذائي لدعم صحة القلب والعظام,1-2 كبسولة يوميًا,يجب تجنب الجرعات العالية لتجنب سمية فيتامين A.
ألفا ليبويك أسيد - Alpha Lipoic Acid,ألفا ليبويك أسيد,مكمل غذائي مضاد للأكسدة يساعد في حماية الخلايا,300-600 ملغ يوميًا,قد يسبب انخفاضًا في مستويات السكر في الدم.
نيوترشنال - Nutritional,فيتامينات ومعادن,مكمل غذائي لدعم الصحة العامة,قرص واحد يوميًا,قد يسبب تحسسًا لدى الأشخاص الذين يعانون من حساسية تجاه مكونات معينة.
إيفيدرا - Ephedra,إفيدرين,مكمل غذائي لزيادة الطاقة وفقدان الوزن,يجب استشارة الطبيب قبل الاستخدام,يجب تجنب تناوله مع الأدوية الأخرى التي تؤثر على ضغط الدم.
غارسينيا كامبوغيا - Garcinia Cambogia,حمض الهيدروكسي سيتريك,مكمل غذائي للتخسيس وتقليل الشهية,500 ملغ 3 مرات يوميًا,قد يسبب اضطرابات في المعدة عند بعض الأشخاص.
مغنيسيوم - Magnesium,مغنيسيوم,مكمل غذائي لدعم صحة العظام والعضلات,200-400 ملغ يوميًا,قد يسبب إسهالًا في الجرعات العالية.
كارنيتين - Carnitine,L-كارنيتين,مكمل غذائي لتحسين حرق الدهون وزيادة الطاقة,500-2000 ملغ يوميًا,قد يسبب تفاعلات مع أدوية الغدة الدرقية.
سبيرولينا - Spirulina,سبيرولينا,مكمل غذائي غني بالبروتينات والمعادن,1-2 جرام يوميًا,قد يسبب تفاعلات مع أدوية مضادة للجلطات.
جوجوبا - Jojoba,زيت الجوجوبا,مكمل غذائي لتحسين صحة الجلد والشعر,1-2 كبسولة يوميًا,قد يسبب حساسية لدى الأشخاص الذين لديهم حساسية تجاه الجوجوبا.
غوايا - Guava,مستخلص الغوايا,مكمل غذائي لتحسين صحة الجهاز المناعي,1 كبسولة يوميًا,قد يسبب اضطرابات هضمية عند بعض الأشخاص.
الشاي الأخضر - Green Tea,مستخلص الشاي الأخضر,مكمل غذائي لدعم عملية الأيض والتخسيس,1-2 كبسولة يوميًا,قد يسبب بعض التفاعلات مع أدوية ضغط الدم.
خلاصة العنب - Grape Seed Extract,مستخلص بذور العنب,مكمل غذائي مضاد للأكسدة يحسن صحة القلب,100-200 ملغ يوميًا,قد يسبب تفاعلات مع أدوية مضادة للتخثر.
كوإنزيم Q10 - CoQ10,كوإنزيم Q10,مكمل غذائي لتحسين الطاقة وصحة القلب,30-200 ملغ يوميًا,قد يسبب انخفاضًا في ضغط الدم عند بعض الأشخاص.
غلوكومانان - Glucomannan,غلوكومانان,مكمل غذائي يساعد في إنقاص الوزن,1 كبسولة 3 مرات يوميًا قبل الوجبات,قد يسبب مشاكل هضمية في بعض الحالات.
شاي الماتشا - Matcha Tea,مستخلص الماتشا,مكمل غذائي مضاد للأكسدة يساعد في زيادة الطاقة,1-2 كوب يوميًا,قد يسبب اضطرابات في النوم عند تناوله في المساء.
لبن البودرة - Milk Thistle,مستخلص حليب الشوك,مكمل غذائي يساعد في دعم صحة الكبد,140-420 ملغ يوميًا,قد يسبب اضطرابات في الجهاز الهضمي لدى بعض الأشخاص.
مستخلص الزنجبيل - Ginger Extract,مستخلص الزنجبيل,مكمل غذائي لتحسين الهضم وتقليل الالتهابات,500-1000 ملغ يوميًا,قد يسبب حرقة المعدة عند البعض.
شيتوزان - Chitosan,شيتوزان,مكمل غذائي يساعد في التحكم في الوزن,1-2 كبسولة يوميًا قبل الوجبات,قد يسبب اضطرابات هضمية في بعض الحالات.
بانادول للأطفال - Panadol Kids,باراسيتامول,مسكن للآلام وخافض للحرارة للأطفال,5-10 مل حسب الوزن كل 4-6 ساعات,لا تتجاوز الجرعة الموصى بها.
بروفين للأطفال - Brufen Kids,إيبوبروفين,مضاد للالتهابات وخافض للحرارة للأطفال,5-10 مل حسب الوزن كل 6-8 ساعات,قد يسبب اضطرابات في المعدة عند بعض الأطفال.
فيرو جلوبي - Ferroglobin,حديد,مكمل غذائي لعلاج نقص الحديد وفقر الدم للأطفال,5-10 مل يوميًا,يجب مراقبة الجرعة لتجنب التسمم بالحديد.
ايفي - Evy,هيدروكسي بروميد,مساعد في علاج السعال الجاف للأطفال,ملعقة صغيرة مرتين يوميًا,قد يسبب النعاس أو تهيج في الحلق.
كودايين للأطفال - Codeine for Kids,كودايين,مضاد للسعال للأطفال,1 مل لكل 5 كجم من الوزن,يجب استشارة الطبيب قبل الاستخدام في حالات معينة.
شراب ديوريسال - Durisal Syrup,دوكساميثازون,مضاد للهيستامين يعالج الحساسية للأطفال,ملعقة صغيرة يوميًا,يجب استشارة الطبيب إذا كان الطفل يعاني من مشاكل في الكبد.
زوفيراكس للأطفال - Zovirax,أسيكلوفير,مضاد للفيروسات لعلاج الهربس البسيط لدى الأطفال,حسب توصيات الطبيب,يجب تجنب الاستخدام طويل الأمد بدون استشارة طبية.
ديماتوب - Dimetapp,ديبنهيدرامين,مضاد للحساسية والعطس للأطفال,ملعقة صغيرة مرتين يوميًا,قد يسبب النعاس.
كالسيفيت - Calcevit,فيتامين D3 وكالسيوم,مكمل غذائي للأطفال لدعم صحة العظام,1-2 مل يوميًا,قد يسبب اضطرابات هضمية إذا تم تناول جرعة زائدة.
علاج الكحة تينكيو - Tynkyo Cough Syrup,عسل وزعتر,مساعد في علاج السعال الجاف للأطفال,ملعقة صغيرة مرتين يوميًا,يجب تجنب استخدامه للأطفال دون سن 6 سنوات.
ديسفلاتيل للأطفال - Disflatyl,سيميثيكون,علاج الغازات والانتفاخ للأطفال,5 مل بعد الوجبات إذا لزم الأمر,يجب استشارة الطبيب في حال وجود مشاكل هضمية مزمنة.
