الاسم,الماده الفعاله,دواعي الاستخدام,الجرعة,تحذيرات
إنالابريل,Enalapril,يستخدم لعلاج ارتفاع ضغط الدم وفشل القلب,5mg-40mg يومياً حسب التوجيه الطبي,يمكن أن يسبب دوخة أو نقص في ضغط الدم في بعض الحالات
ميتوبرولول,Metoprolol,يستخدم في علاج ارتفاع ضغط الدم وفشل القلب,25mg-100mg يومياً حسب التوجيه الطبي,يجب تجنب التوقف المفاجئ عن الدواء
هيدروكلوروثيازيد,Hydrochlorothiazide,يستخدم كمدر للبول في حالات ارتفاع ضغط الدم وفشل القلب,25mg-50mg يومياً حسب التوجيه الطبي,يمكن أن يسبب نقص البوتاسيوم في الدم
سالبوتامول,Salbutamol,موسع للشعب الهوائية في حالات الربو والحساسية,100-200mcg عند الحاجة,يجب عدم الإفراط في استخدامه
الميتفورمين,Metformin,يستخدم في علاج مرض السكري من النوع الثاني,500mg-2000mg يومياً حسب التوجيه الطبي,يمكن أن يسبب اضطراب في المعدة
فالبروات الصوديوم,Valproate,يستخدم في علاج الصرع والحالات العصبية,10mg-15mg لكل كيلوجرام من الوزن,يجب مراقبة مستويات الدم بانتظام
ميثوتريكسات,Methotrexate,يستخدم في علاج التهاب المفاصل الروماتويدي,7.5mg-25mg أسبوعياً حسب التوجيه الطبي,يجب مراقبة وظيفة الكبد بانتظام
الأملوديبين,Amlodipine,يستخدم لخفض ضغط الدم وعلاج الذبحة الصدرية,5-10 ملجم يومياً,يجب استشارة الطبيب إذا كان هناك تاريخ من أمراض القلب أو الكبد
اللوزارتان,Losartan,يستخدم لخفض ضغط الدم وعلاج أمراض القلب,50-100 ملجم يومياً,قد يسبب دوخة في بداية العلاج
الكلورثاليدون,Chlorthalidone,مدر للبول يستخدم في علاج ارتفاع ضغط الدم,12.5-25 ملجم يومياً,يجب مراقبة مستويات البوتاسيوم في الدم
إكسيناتيد,Exenatide,يستخدم لخفض مستوى السكر في الدم,5-10 ميكروغرام مرتين يومياً,يمكن أن يسبب غثيان في بعض الحالات
سيتاجليبتين,Sitagliptin,يستخدم لتحسين التحكم في مستوى السكر في الدم,100 ملجم يومياً,يمكن أن يسبب دوار وصداع
بريدويسولون,Prednisolone,يستخدم لتقليل الالتهابات في حالات الربو والذئبة,5-40 ملجم يومياً حسب الحاجة,يجب استخدامه بحذر لتجنب الآثار الجانبية للأدوية الستيرويدية
سالميترول,Salmeterol,موسع للشعب الهوائية طويل المدى يستخدم في علاج الربو,50 ميكروغرام مرتين يومياً,يجب تجنب الإفراط في الاستخدام
فوروسيميد,Furosemide,مدر للبول يستخدم في علاج قصور القلب الاحتقاني وارتفاع ضغط الدم,20-80 ملجم يومياً,يجب مراقبة مستويات البوتاسيوم والوظائف الكلوية
كارفيدلول,Carvedilol,حاصرات بيتا تُستخدم لعلاج ارتفاع ضغط الدم وفشل القلب,6.25-25 ملجم يومياً,يجب تجنب التوقف المفاجئ عن تناوله
غليبيزيد,Glyburide,من فئة السلفونيل يوريا- يُستخدم لخفض مستوى السكر في الدم لدى مرضى السكري من النوع الثاني,2.5-10 ملجم يومياً,قد يسبب انخفاضًا حادًا في مستوى السكر في الدم
داباجليفلوزين,Dapagliflozin,مثبطات SGLT2 تُستخدم في علاج السكري من النوع الثاني,5-10 ملجم يومياً,قد يزيد من خطر الإصابة بالتهاب المسالك البولية
بوديزونيد,Budesonide,كورتيكوستيرويد يُستخدم في علاج التهاب الربو,200-800 ميكروغرام مرتين يومياً,يجب تجنب الإفراط في الاستخدام لتفادي الآثار الجانبية
تيوفيلين,Theophylline,موسع للشعب الهوائية يُستخدم في علاج الربو ومرض الانسداد الرئوي المزمن,200-400 ملجم يومياً,يجب مراقبة مستويات الدواء في الدم لتجنب التسمم
كلوفازيمين,Clofazimine,يُستخدم في علاج الالتهابات الجلدية وحالات مثل التهاب المفاصل الروماتويدي,100-300 ملجم يومياً,قد يسبب تغيرات في لون الجلد
توسيليزوماب,Tocilizumab,دواء بيولوجي يُستخدم في علاج التهاب المفاصل الروماتويدي والذئبة,يُعطى عن طريق الحقن كل أسبوعين,يجب مراقبة العدوى والأعراض الجانبية المتعلقة بالجهاز المناعي
أداليموماب,Adalimumab,دواء بيولوجي يُستخدم لعلاج التهاب المفاصل الروماتويدي وأمراض المناعة الذاتية الأخرى,يُعطى عن طريق الحقن مرة كل أسبوعين,يجب تجنب التعرض للعدوى أثناء العلاج
إريثروبويتين,Erythropoietin,يُستخدم لتحفيز إنتاج خلايا الدم الحمراء في حالات فشل الكلى المزمن,يتم تحديد الجرعة بناءً على مستوى الهيموغلوبين,يجب مراقبة مستوى الهيموغلوبين بانتظام
كاناجليفلوزين,Canagliflozin,يُستخدم في علاج مرض السكري من النوع الثاني ويعمل على تحسين وظائف الكلى,100-300 ملجم يومياً,يجب مراقبة وظائف الكلى ومستوى السكر في الدم
إنترفيرون ألفا,Interferon Alpha,يستخدم لعلاج التهاب الكبد الفيروسي من النوع B و C,يتم تحديد الجرعة بناءً على نوع العدوى,قد يسبب آثارًا جانبية مثل الحمى- والتعب- والاكتئاب
ريبافيرين,Ribavirin,يُستخدم مع الأدوية الأخرى مثل الإنترفيرون لعلاج التهاب الكبد الفيروسي من النوع C,200-400 ملجم مرتين يومياً,قد يسبب فقر الدم ويحتاج إلى مراقبة مستمرة
لاميفودين,Lamivudine,يُستخدم في علاج التهاب الكبد الفيروسي B,100 ملجم يومياً,يمكن أن يسبب مقاومة للفيروس إذا تم استخدامه لفترة طويلة
تيليبرفير,Telaprevir,يستخدم في علاج التهاب الكبد الفيروسي C- وغالبًا ما يُستخدم مع أدوية أخرى,750 ملجم كل 8 ساعات,يمكن أن يسبب تفاعلات دوائية مع أدوية أخرى
بريدنيزون,Prednisone,كورتيكوستيرويد يُستخدم للحد من الالتهابات في حالة التهاب الكبد المناعي الذاتي,5-40 ملجم يومياً حسب الحاجة,يجب مراقبة الآثار الجانبية مثل احتباس السوائل وارتفاع ضغط الدم
أزاثيوبرين,Azathioprine,يُستخدم لتثبيط جهاز المناعة في حالات التهاب الكبد المناعي الذاتي,50-150 ملجم يومياً,يمكن أن يسبب قمع الجهاز المناعي وزيادة خطر العدوى
أوميبرازول,Omeprazole,مثبط مضخة البروتون يُستخدم لعلاج ارتجاع المريء والتقرحات المعدية,20-40 ملجم يومياً,يجب تجنب الاستخدام طويل الأمد لتجنب نقص المغنيسيوم
لانسوبرازول,Lansoprazole,مثبط مضخة البروتون يُستخدم لعلاج ارتجاع المريء وقرحة المعدة,15-30 ملجم يومياً,قد يزيد من خطر الإصابة بعدوى في الجهاز الهضمي
رانتيدين,Ranitidine,مضاد للهستامين من الجيل الثاني- يُستخدم في علاج ارتجاع المريء,150 ملجم مرتين يومياً,يمكن أن يتداخل مع بعض الأدوية الأخرى
أمبيسيلين,Ampicillin,مضاد حيوي يستخدم لعلاج العدوى الميكروبية التي قد تسبب التهابات في المريء,250-500 ملجم 3-4 مرات يومياً,يجب مراقبة الحساسية للأدوية
مميعات الدم,Aspirin/Heparin,يستخدم في حالات التشوهات التي تتسبب في جلطات دموية أو تهيج في المريء,يتم تحديد الجرعة بناءً على الحالة,يجب مراقبة مستويات الدم بشكل دوري لتجنب حدوث نزيف
لقاح فايزر - Pfizer-BioNTech,BNT162b2,يستخدم للوقاية من فيروس كورونا - كوفيد-19,جرعتين- تفصل بينهما 3 أسابيع- مع جرعة معززة بعد 6 أشهر,قد يسبب أعراض جانبية مثل الحمى أو التعب بعد الجرعة الأولى
لقاح موديرنا - Moderna,mRNA-1273,يستخدم للوقاية من فيروس كورونا - كوفيد-19,جرعتين- تفصل بينهما 4 أسابيع- مع جرعة معززة بعد 6 أشهر,قد يسبب ألمًا في مكان الحقن أو صداع بعد الجرعة الأولى
لقاح أسترازينيكا - AstraZeneca,AZD1222,يستخدم للوقاية من فيروس كورونا - كوفيد-19,جرعتين- تفصل بينهما 4-12 أسابيع- مع جرعة معززة بعد 6 أشهر,يجب مراقبة الأعراض الجانبية مثل الحمى أو آلام في العضلات بعد الحقن
لقاح جونسون آند جونسون - Johnson & Johnson,Janssen,يستخدم للوقاية من فيروس كورونا - كوفيد-19,جرعة واحدة مع جرعة معززة بعد 6 أشهر,قد يسبب أعراض جانبية خفيفة مثل الاحمرار في مكان الحقن أو صداع
لقاح سينوفارم - Sinopharm,BBIBP-CorV,يستخدم للوقاية من فيروس كورونا - كوفيد-19,جرعتين- تفصل بينهما 3 أسابيع,يجب استشارة الطبيب في حال وجود تاريخ من الحساسية
لقاح سينوفاك - Sinovac,CoronaVac,يستخدم للوقاية من فيروس كورونا - كوفيد-19,جرعتين- تفصل بينهما 3-4 أسابيع,قد يسبب ارتفاعًا طفيفًا في درجة الحرارة أو ألم في العضلات
لقاح سبوتنيك V - Sputnik V,Gam-COVID-Vac,يستخدم للوقاية من فيروس كورونا - كوفيد-19,جرعتين- تفصل بينهما 3 أسابيع,ينبغي متابعة الأعراض الجانبية مثل التعب أو الصداع بعد الجرعة الأولى
هيلوريتن,نعناع,أقراص استحلاب تحتوي على النعناع لتخفيف ألم الحلق,أخذ قرص كل 4 ساعات,تجنب الاستخدام المتكرر للمرضى الذين يعانون من حساسية
فلكسونيز,فلوتيكازون,بخاخ مضاد للالتهاب,رش مرتين يومياً في كل فتحة أنف,تجنب الاستخدام المستمر دون استشارة طبية
أموكسيسيلين,Amoxicillin,مضاد حيوي لعلاج الالتهابات البكتيرية,500 مجم كل 8 ساعات,يُمنع استخدامه في حالات الحساسية للبنسلين
باراسيتامول,Paracetamol,مسكن للألم وخافض للحرارة,500-1000 مجم كل 6 ساعات حسب الحاجة,لا تتجاوز الجرعة اليومية الموصى بها لتجنب تسمم الكبد
إيبوبروفين,Ibuprofen,مضاد التهاب غير ستيرويدي لتسكين الألم وتقليل الالتهاب,200-400 مجم كل 6 ساعات,يُمنع في مرضى القرحة المعدية الحادة
ديكلوفيناك,Diclofenac,مسكن ومضاد التهاب,50 مجم مرتين يوميًا,يُمنع استخدامه في حالات الربو الحاد
سيتريزين,Cetirizine,مضاد هيستامين لعلاج الحساسية,10 مجم مرة واحدة يوميًا,قد يسبب النعاس- تجنب القيادة بعد تناوله
لوراتادين,Loratadine,مضاد للحساسية,10 مجم يوميًا,تجنب الاستخدام مع الكحول لتفادي الخمول
رانيتيدين,Ranitidine,علاج الحموضة والارتجاع المعدي,150 مجم مرتين يوميًا,تم سحبه من الأسواق بسبب مخاوف تتعلق بالسلامة
ميتفورمين,Metformin,علاج مرض السكري النوع الثاني,500-1000 مجم مرتين يوميًا مع الطعام,يجب مراقبة وظائف الكلى أثناء الاستخدام
جلوكوفاج,Metformin,منظم لسكر الدم,500 مجم مرتين يوميًا,قد يسبب اضطرابات معوية
الأنسولين,Insulin,هرمون للتحكم في نسبة السكر بالدم,حسب توجيهات الطبيب,يُحفظ في الثلاجة
فالسارتان,Valsartan,علاج ارتفاع ضغط الدم,80-160 مجم يوميًا,يُمنع أثناء الحمل
أملوديبين,Amlodipine,موسع للأوعية لعلاج ضغط الدم,5-10 مجم يوميًا,قد يسبب تورم القدمين
أتورفاستاتين,Atorvastatin,خفض الكوليسترول في الدم,10-80 مجم يوميًا,يُمنع في مرضى الكبد
سيمفاستاتين,Simvastatin,علاج ارتفاع الدهون في الدم,20-40 مجم يوميًا,تجنب تناول الجريب فروت معه
وارفارين,Warfarin,مضاد لتخثر الدم,حسب توجيهات الطبيب,يجب مراقبة تحليل INR بشكل دوري
كلوبيدوجريل,Clopidogrel,مضاد للصفائح الدموية,75 مجم يوميًا,تجنب الاستخدام مع الأسبرين دون استشارة طبية
أسبيرين,Aspirin,مسكن ومضاد تخثر,81-325 مجم يوميًا,يُمنع في الأطفال لتجنب متلازمة راي
سالبيوتامول,Salbutamol,موسع للشعب الهوائية لعلاج الربو,بخاخ حسب الحاجة,قد يسبب خفقان القلب عند بعض المرضى
سيريتايد,Salmeterol + Fluticasone,بخاخ موسع للشعب الهوائية ومضاد للالتهاب,بختين مرتين يوميًا,يجب غسل الفم بعد الاستخدام لتجنب الفطريات
هيدروكورتيزون,Hydrocortisone,كورتيزون موضعي لعلاج التهابات الجلد,يُدهن مرتين يوميًا,يجب تجنب الاستخدام المطول
ديازيبام,Diazepam,مهدئ لعلاج القلق والتشنجات,2-10 مجم ثلاث مرات يوميًا,يُمنع في مرضى الاكتئاب الحاد
ألبرازولام,Alprazolam,مهدئ لعلاج القلق,0.25-0.5 مجم مرتين يوميًا,يُمنع تناوله مع الكحول
سيرترالين,Sertraline,مضاد اكتئاب,50-100 مجم يوميًا,يُستخدم بحذر في مرضى الصرع
باروكستين,Paroxetine,مضاد اكتئاب,20-40 مجم يوميًا,قد يسبب زيادة في الوزن
فينلافاكسين,Venlafaxine,علاج الاكتئاب والقلق,75-150 مجم يوميًا,يُستخدم بحذر مع مرضى ارتفاع ضغط الدم
أميتريبتيلين,Amitriptyline,مضاد اكتئاب ثلاثي الحلقات,25-75 مجم ليلاً,قد يسبب جفاف الفم وزيادة الوزن
جابابنتين,Gabapentin,علاج آلام الأعصاب,300-900 مجم يوميًا,يُستخدم بحذر في مرضى الكلى
بريجابالين,Pregabalin,علاج آلام الأعصاب والصرع,150-600 مجم يوميًا,قد يسبب الدوار والنعاس
ليفيتيراسيتام,Levetiracetam,علاج الصرع,500-1500 مجم يوميًا,يجب مراقبة تغيرات المزاج خلال الاستخدام
توبيراميت,Topiramate,علاج الصرع والصداع النصفي,50-200 مجم يوميًا,قد يسبب فقدان الوزن والتعب
لورازيبام,Lorazepam,مهدئ ومنوم,1-2 مجم قبل النوم,يُستخدم بحذر في كبار السن
Zolgensma,Onasemnogene abeparvovec,يستخدم لعلاج ضمور العضلات الشوكي - SMA لدى الأطفال دون سن السنتين,جرعة واحدة حسب الوزن,يجب استشارة الطبيب قبل العلاج إذا كان الطفل يعاني من أي مشاكل في الكبد
Luxturna,Voretigene neparvovec,يستخدم لعلاج العمى الوراثي بسبب طفرات في جين RPE65,جرعة واحدة في العين لكل عين,قد يسبب التهابًا في العين أو ردود فعل تحسسية
Kymriah,Tisagenlecleucel,يستخدم لعلاج سرطان الدم الليمفاوي الحاد وسرطان الغدد الليمفاوية,جرعة واحدة عبر الوريد,يجب مراقبة الأعراض الجانبية مثل الحمى وأعراض متلازمة تسرب الشعيرات
Soliris,Eculizumab,يستخدم لعلاج أمراض المناعة الذاتية مثل البروجينيا والتصلب الجانبي الضموري,حقن أسبوعية أو شهرية حسب الحالة,قد يسبب مشاكل في الجهاز التنفسي أو ضعف المناعة
Brineura,Cerliponase alfa,يستخدم لعلاج مرض النخاع العصبي - CLN2 عند الأطفال,حقن مباشرة في السائل الدماغي الشوكي كل أسبوعين,يجب مراقبة الآثار الجانبية مثل التورم أو الحمى بعد الحقن
Hemgenix,Etranacogene dezaparvovec,يستخدم لعلاج نزيف الدم الوراثي - الهيموفيليا في البالغين,جرعة واحدة عبر الوريد,يجب تجنب الاستخدام في الأشخاص الذين يعانون من مشاكل في الكبد
Mepsevii,Vestronidase alfa,يستخدم لعلاج مرض لينسل النادر,حقن تحت الجلد كل أسبوعين,قد يسبب ردود فعل تحسسية أو أعراض في الجهاز الهضمي
سنسوداين,نترات البوتاسيوم,يستخدم للأسنان الحساسة,فرشاة أسنان مرتين يوميًا,لا يُستخدم من قبل الأشخاص الذين لديهم حساسية من الفلورايد
كولجيت توتال,فلورايد الصوديوم,يحمي من التسوس والبكتيريا والتهاب اللثة,فرشاة أسنان مرتين يوميًا,يجب تجنب بلعه في حالة الأطفال دون 6 سنوات
أورال-بي 3D وايت,هيدروكسيد الألومنيوم,يساعد في تبييض الأسنان وإزالة البقع السطحية,فرشاة أسنان مرتين يوميًا,لا يُستخدم مع الأسنان الحساسة لفترات طويلة
بارودونتكس,فوسفات الكالسيوم,يعالج التهابات اللثة ويحسن صحة اللثة,فرشاة أسنان مرتين يوميًا,قد يسبب تهيجًا في الفم في حالات الاستخدام المفرط
ليسترين,كحول الإيثانول,يقتل البكتيريا ويعالج رائحة الفم الكريهة,غسول فم مرتين يوميًا,يجب عدم بلعه وتجنب استخدامه للأطفال تحت 6 سنوات
كريست 3D وايت,بيروكسيد الهيدروجين,يساعد في تبييض الأسنان وتقليل البقع,فرشاة أسنان مرتين يوميًا,يمكن أن يؤدي إلى حساسية الأسنان إذا استخدم لفترات طويلة
أوسكال,كربونات الكالسيوم,مكمل غذائي لتقوية الأسنان والعظام,قرص واحد يوميًا,قد يسبب مشاكل في المعدة عند استخدامه بجرعات عالية
نيتشر ميد فيتامين D3,فيتامين D3,يُحسن امتصاص الكالسيوم ويساعد في تقوية الأسنان والعظام,قرص واحد يوميًا,قد يسبب فرط الكالسيوم إذا تم تناوله بكميات كبيرة
سولجار فيتامين D3,فيتامين D3,يُحسن امتصاص الكالسيوم ويدعم صحة الأسنان والعظام,قرص واحد يوميًا,يجب استشارة الطبيب في حال وجود مشاكل صحية بالكلى أو القلب
كلورهكسيدين جل,كلورهكسيدين,يقلل من التهاب اللثة ويعزز صحة الفم,تطبيقه على اللثة مرتين يوميًا,يجب تجنب استخدامه لفترات طويلة دون استشارة الطبيب
سيبرو دكس,سيبروفلوكساسين + ديكساميثازون,يستخدم لعلاج التهابات الأذن الخارجية والداخلية,قطرتين في الأذن مرتين يوميًا,لا يُستخدم في حالة وجود ثقب في طبلة الأذن
أوتيباكس,فينازون + جليسرول,يخفف الألم والتورم في الأذن بسبب التهابات الأذن,قطرتين في الأذن مرتين يوميًا,لا يُستخدم إذا كان هناك ثقب في طبلة الأذن
كلاريثروميسين,كلاريثروميسين,مضاد حيوي لعلاج التهابات الحلق واللوزتين التي تسببها بكتيريا مقاومة للبنسلين,500 ملغ كل 12 ساعة لمدة 7 أيام,قد يسبب تفاعلات مع أدوية أخرى مثل أدوية القلب
بريدنيزولون,بريدنيزولون,مضاد التهاب يستخدم لعلاج التهاب الحنجرة الحاد والمزمن,قرص 5 ملغ يوميًا,يجب عدم استخدامه لفترات طويلة دون إشراف طبي
ستربسيلس,ديكلورابين أو أميلوفين,أقراص مص لتخفيف التهاب الحلق,قرص واحد كل 2-3 ساعات,قد يسبب تهيجًا في الفم عند الإفراط في الاستخدام
سيبتوليت,كلورهيكسيدين + منثول,أقراص مص لتخفيف التهاب الحلق واللوزتين,قرص واحد كل 2-3 ساعات,يجب تجنب الإفراط في الاستخدام لتجنب التهيج
أوسلتاميفير,أوسلتاميفير,مضاد فيروسي يستخدم لتقليل مدة أعراض الإنفلونزا التي تشمل التهاب الحنجرة,كبسولة 75 ملغ مرتين يوميًا لمدة 5 أيام,يجب أن يُستخدم في بداية ظهور الأعراض
أمبروكسول,أمبروكسول,مقشع يساعد في تخفيف البلغم وتحسين التنفس في حالة التهاب الحنجرة,10 مل 3 مرات يوميًا,يجب تجنب الإفراط في استخدامه في حالات مرضى الكبد
سودوافيدرين,سودوافيدرين,مزيل احتقان يستخدم لتخفيف احتقان الأنف المصاحب لالتهاب الحنجرة,30 ملغ كل 4-6 ساعات,يجب الحذر في حالات مرضى القلب أو ارتفاع ضغط الدم
ليفوثيروكسين,ليفوثيروكسين,علاج قصور الغدة الدرقية - Hypothyroidism حيث تعاني الغدة الدرقية من انخفاض في إنتاج هرمون الغدة الدرقية,تبدأ الجرعة بـ 25-50 ميكروغرام وتزداد تدريجيًا حسب الحاجة,يجب مراقبة مستويات هرمونات الغدة الدرقية في الدم بانتظام
ميثيمازول,ميثيمازول,"علاج فرط نشاط الغدة الدرقية - Hyperthyroidism مثل مرض ""جريفز""",الجرعة الأولية تتراوح بين 5-20 ملغ يوميًا,قد يسبب انخفاض في خلايا الدم البيضاء- لذا يجب إجراء اختبارات الدم بشكل دوري
بوتاسيوم يوديد,يوديد البوتاسيوم,يستخدم للتحكم في أعراض فرط نشاط الغدة الدرقية- وكذلك بعد علاج اليود المشع,130 ملغ يوميًا- حسب توصية الطبيب,لا يُنصح باستخدامه في حالة وجود مشاكل في القلب
بروموكريبتين,بروموكريبتين,يستخدم لعلاج فرط إفراز البرولاكتين أو مشاكل مثل الأورام النخامية المنتجة للبرولاكتين,تبدأ الجرعة بـ 1.25 ملغ يوميًا وتزداد تدريجيًا,قد يسبب انخفاض ضغط الدم- لذا يجب مراقبة الضغط بانتظام
لينوتروبون,لينوتروبون,يستخدم في علاج مشاكل الغدة النخامية مثل العقم أو اضطرابات الهرمونات الجنسية,يتم تحديد الجرعة حسب الحالة الصحية ووفقًا لتوصيات الطبيب,لا يُنصح باستخدامه في حالات الحمل أو الرضاعة
فلودروكورتيزون,فلودروكورتيزون,يستخدم لعلاج مرض أديسون- يساعد في الحفاظ على توازن الماء والأملاح في الجسم,عادة ما يتم تناول 0.1 ملغ يوميًا,يجب مراقبة ضغط الدم ومستويات الصوديوم والبوتاسيوم في الدم
إنسولين,إنسولين,يستخدم لعلاج مرض السكري من النوع 1 والنوع 2 لتنظيم مستويات السكر في الدم,تختلف الجرعة حسب حاجة المريض ومستوى السكر في الدم,يجب مراقبة مستويات السكر بشكل منتظم لتجنب هبوط السكر في الدم
غليميبيريد,غليميبيريد,دواء يستخدم لتنظيم مستويات السكر في الدم لدى مرضى السكري من النوع 2,1-2 ملغ يوميًا,يمكن أن يسبب انخفاضًا مفاجئًا في مستوى السكر في الدم
ميتفورمين,ميتفورمين,يستخدم لعلاج السكري من النوع 2 عن طريق تحسين استجابة الجسم للأنسولين,تبدأ الجرعة بـ 500 ملغ يوميًا وقد تزيد حسب الحاجة,يمكن أن يسبب مشاكل في المعدة أو حموضة الدم في حالات نادرة
بيساكوديل,بيساكوديل,يستخدم لتحفيز حركة الأمعاء في حالات الإمساك الحاد,5-15 ملغ يوميًا,لا يُنصح باستخدامه لفترات طويلة
سينا,سينا,يستخدم كملين للأمعاء لعلاج الإمساك المزمن,15-30 ملغ في المساء,قد يسبب تشنجات في البطن إذا تم استخدامه بشكل مفرط
لاكتولوز,لاكتولوز,يستخدم لعلاج الإمساك المزمن ويعمل عن طريق زيادة كمية الماء في الأمعاء,15-30 مل يوميًا,قد يسبب غازات وانتفاخات في البطن
فايبرام,فيبرام - Psyllium,ألياف غذائية تستخدم لعلاج الإمساك عن طريق زيادة حجم البراز,1-2 ملعقة يوميًا,يجب تناول كمية كبيرة من الماء مع هذا الدواء
دوساتين,دوساتين,يستخدم لتليين البراز وتسهيل مروره,50-400 ملغ يوميًا,يمكن أن يؤدي إلى مشكلات في المعدة مثل الغازات
موبيكول,بولى إيثيلين جلايكول,ملين يستخدم لزيادة الحركة المعوية وتقليل الإمساك,1-2 كيس يوميًا,قد يسبب غثيانًا أو قيئًا في بعض الحالات
لوبراميد,لوبراميد,يستخدم لعلاج الإسهال الحاد والمزمن,2 ملغ بعد كل مرة إسهال- ثم 1 ملغ بعد ذلك,يجب تجنب استخدامه إذا كان الإسهال مصحوبًا بحمى أو دم في البراز
إيموديوم,إيموديوم,يعالج الإسهال ويقلل من عدد مرات التبرز,4 ملغ في البداية ثم 2 ملغ بعد كل حركة معوية مفرطة,لا يُنصح به للأشخاص الذين يعانون من التهاب الأمعاء
كربون فعال,كربون نشط,يستخدم لامتصاص السموم في الجهاز الهضمي وعلاج الإسهال,1-2 جرام كل 4-6 ساعات حسب الحاجة,قد يسبب امتصاص بعض الأدوية الأخرى- لذا يجب تناوله بعيدًا عن الأدوية الأخرى
سلفازالازين,سلفازالازين,يستخدم لعلاج الإسهال الناتج عن التهاب القولون التقرحي أو الأمراض المعوية,500 ملغ إلى 1 جرام يوميًا,يمكن أن يسبب مشاكل في الجهاز الهضمي
أوفيرسيد,أوكتريوتيد,يستخدم لعلاج الإسهال المزمن الناجم عن أمراض معينة مثل الأورام,يعتمد على حالة المريض,يجب مراقبة مستويات السكر في الدم
بروبيوتيك,Lactobacillus, Bifidobacterium,يساعد في استعادة التوازن الطبيعي للبكتيريا في الأمعاء وعلاج الإسهال,يتم تناولها عادة في شكل كبسولات أو مسحوق,قد يسبب انتفاخات وغازات في بعض الحالات
بيساكوديل,بيساكوديل,يستخدم لتحفيز حركة الأمعاء في حالات الإمساك الحاد,5-15 ملغ يوميًا,لا يُنصح باستخدامه لفترات طويلة
سينا,سينا,يستخدم كملين للأمعاء لعلاج الإمساك المزمن,15-30 ملغ في المساء,قد يسبب تشنجات في البطن إذا تم استخدامه بشكل مفرط
لاكتولوز,لاكتولوز,يستخدم لعلاج الإمساك المزمن ويعمل عن طريق زيادة كمية الماء في الأمعاء,15-30 مل يوميًا,قد يسبب غازات وانتفاخات في البطن
فايبرام,فيبرام - Psyllium,ألياف غذائية تستخدم لعلاج الإمساك عن طريق زيادة حجم البراز,1-2 ملعقة يوميًا,يجب تناول كمية كبيرة من الماء مع هذا الدواء
دوساتين,دوساتين,يستخدم لتليين البراز وتسهيل مروره,50-400 ملغ يوميًا,يمكن أن يؤدي إلى مشكلات في المعدة مثل الغازات
موبيكول,بولى إيثيلين جلايكول,ملين يستخدم لزيادة الحركة المعوية وتقليل الإمساك,1-2 كيس يوميًا,قد يسبب غثيانًا أو قيئًا في بعض الحالات
لوبراميد,لوبراميد,يستخدم لعلاج الإسهال الحاد والمزمن,2 ملغ بعد كل مرة إسهال- ثم 1 ملغ بعد ذلك,يجب تجنب استخدامه إذا كان الإسهال مصحوبًا بحمى أو دم في البراز
إيموديوم,إيموديوم,يعالج الإسهال ويقلل من عدد مرات التبرز,4 ملغ في البداية ثم 2 ملغ بعد كل حركة معوية مفرطة,لا يُنصح به للأشخاص الذين يعانون من التهاب الأمعاء
كربون فعال,كربون نشط,يستخدم لامتصاص السموم في الجهاز الهضمي وعلاج الإسهال,1-2 جرام كل 4-6 ساعات حسب الحاجة,قد يسبب امتصاص بعض الأدوية الأخرى- لذا يجب تناوله بعيدًا عن الأدوية الأخرى
سلفازالازين,سلفازالازين,يستخدم لعلاج الإسهال الناتج عن التهاب القولون التقرحي أو الأمراض المعوية,500 ملغ إلى 1 جرام يوميًا,يمكن أن يسبب مشاكل في الجهاز الهضمي
أوفيرسيد,أوكتريوتيد,يستخدم لعلاج الإسهال المزمن الناجم عن أمراض معينة مثل الأورام,يعتمد على حالة المريض,يجب مراقبة مستويات السكر في الدم
بروبيوتيك,Lactobacillus, Bifidobacterium,يساعد في استعادة التوازن الطبيعي للبكتيريا في الأمعاء وعلاج الإسهال,يتم تناولها عادة في شكل كبسولات أو مسحوق,قد يسبب انتفاخات وغازات في بعض الحالات
